,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
8341,256.0,2.0,2.5,58.0,12.7,0,-4.939145065329754,0.0
1101,0.0,0.0,-8.3,99.9,-4.6,0,-8.312877661243027,0.0
18682,9.0,0.7,6.2,48.8,22.5,0,-3.7932616590339214,0.0
23367,297.0,0.5,3.0,25.9,25.6,0,-14.726992850074351,0.0
19651,0.0,0.0,-0.7,85.9,3.4,0,-2.7672620630215685,0.0
12825,53.0,0.4,-4.3,99.9,-0.4,4,-4.313320109999687,0.0
11329,0.0,0.0,-3.5,56.4,1.2,0,-10.93794704222433,0.0
22655,264.0,1.4,1.4,47.5,3.6,0,-8.566874679539419,0.0
5136,352.0,0.3,-17.5,65.7,-11.6,0,-22.38368629635171,0.0
18122,0.0,0.5,5.8,66.7,9.8,0,0.07718785862283392,0.0
25311,68.0,0.3,-3.0,99.9,1.0,4,-3.013465514776797,0.0
2994,0.0,0.0,-5.1,73.2,0.5,0,-9.155609104315307,0.0
17471,70.0,0.4,3.0,78.5,6.8,4,-0.3760778390891526,0.0
2857,126.0,1.6,0.5,32.3,16.4,0,-14.211796709709981,0.0
1978,186.0,1.1,0.4,63.5,-1.6,0,-5.728492826020907,0.0
3007,13.0,0.2,-5.8,75.5,-0.2,0,-9.438285687306372,0.0
19603,0.0,0.0,-1.0,81.3,3.3,0,-3.8002937184978376,0.0
22277,332.0,1.1,0.9,48.4,4.2,0,-8.786622516426972,0.0
23081,272.0,0.7,-8.1,87.7,-4.1,0,-9.78019890253558,0.0
8739,203.0,0.7,-3.5,67.6,-5.2,0,-8.63583144577893,0.0
27861,5.0,0.4,-1.3,72.7,4.9,0,-5.575318591013045,0.0
8608,31.0,0.4,-1.5,62.6,-3.2,0,-7.719215861636695,0.0
7317,213.0,0.3,-13.9,81.6,-10.3,0,-16.367194447398546,0.0
19765,0.0,0.0,-0.4,87.3,2.8,0,-2.2536085305647617,0.0
16612,43.0,0.6,5.2,73.0,15.4,0,0.7510560111424687,0.0
12748,0.0,0.0,-2.3,88.4,3.2,4,-3.957736159420264,0.0
15116,25.0,0.5,-7.1,99.9,-4.0,4,-7.113009611252607,0.0
23624,0.0,0.1,-4.8,72.6,0.7,0,-8.971136672931165,0.0
27891,1.0,0.2,-2.0,79.3,3.6,0,-5.107189614360335,0.0
23799,0.0,0.0,-8.6,99.9,-3.7,0,-8.612844778823426,0.0
12204,42.0,0.2,-7.1,99.9,-3.7,4,-7.113009611252607,0.0
7286,71.0,0.6,-13.9,81.5,-9.7,0,-16.381911696736974,0.0
9101,81.0,1.2,3.8,24.2,16.7,0,-14.866928348420098,0.0
3287,17.0,0.9,-2.0,61.9,2.7,0,-8.338620464798169,0.0
12894,25.0,0.1,-5.5,99.9,-2.3,4,-5.513186590755566,0.0
14442,217.0,0.8,-3.3,99.9,-2.1,4,-3.3134318897732564,0.0
2714,269.0,0.5,-6.8,80.4,-2.0,0,-9.61025722973761,0.0
12087,260.0,0.2,-3.2,79.6,-0.4,0,-6.227080795849793,0.0
22917,51.0,0.6,-3.2,42.4,-0.2,0,-14.200706861170836,0.0
24212,263.0,0.4,5.2,41.4,13.3,0,-6.8769753166212455,0.0
20314,359.0,0.2,-1.3,82.0,1.3,0,-3.9790006748225206,0.0
11331,330.0,0.2,-3.7,55.8,1.2,0,-11.260026199343338,0.0
26075,316.0,0.3,-1.0,71.9,1.2,0,-5.431858663377604,0.0
1046,71.0,0.3,-7.4,99.9,-3.7,0,-7.412976560700552,0.0
481,0.0,0.0,9.47,9.99,-2.6,4,-20.73625933269581,0.0
4483,58.0,0.8,-7.6,60.8,-3.7,0,-13.87149353279604,0.0
6000,70.0,0.5,-10.3,82.4,-5.5,2,-12.724039508808215,0.0
17862,25.0,0.5,6.2,68.4,8.6,1,0.8080699463520261,0.0
4011,315.0,0.6,3.3,57.8,9.1,0,-4.232969985223163,0.0
12218,251.0,0.6,-7.0,99.9,-4.0,4,-7.013020637443981,0.0
