,wind_velocity_1h
8341,2.9
1101,0.2
18682,0.8
23367,0.6
19651,0.0
12825,0.2
11329,0.3
22655,1.0
5136,0.5
18122,0.0
25311,0.0
2994,0.5
17471,0.2
2857,0.6
1978,1.7
3007,0.2
19603,0.0
22277,1.7
23081,0.7
8739,1.1
27861,0.0
8608,1.2
7317,0.2
19765,0.0
16612,0.8
12748,0.2
15116,1.0
23624,0.2
27891,0.0
23799,0.2
12204,0.0
7286,1.0
9101,1.0
3287,0.7
12894,0.0
14442,0.3
2714,0.9
12087,0.5
22917,0.9
24212,0.2
20314,0.5
11331,0.3
26075,1.2
1046,0.3
481,0.03
4483,2.1
6000,0.8
17862,1.0
4011,1.1
12218,0.0
20387,0.1
22244,1.6
13420,0.0
20886,0.4
27050,0.6
1180,0.0
743,1.0
15197,0.3
6116,0.4
18423,0.0
14414,0.5
17695,0.4
8641,0.4
27978,0.0
7160,0.8
21313,0.0
4819,0.8
25531,2.2
13884,0.6
26470,0.3
9616,1.1
10284,0.5
16962,0.3
626,0.07
3361,0.2
8521,0.6
12488,1.2
24578,0.2
13309,0.4
14700,1.0
11640,0.0
23265,0.8
11863,1.6
7097,0.5
16869,0.0
22555,0.1
6726,0.6
12588,1.0
3345,0.4
3792,0.0
20266,0.4
281,0.0
22105,2.1
11780,0.9
18681,0.7
13299,0.5
15141,0.3
23826,0.2
20284,0.2
2258,1.1
148,0.02
9455,0.2
22100,1.7
13693,0.3
28080,0.0
19722,0.0
1511,0.8
15635,0.9
27777,0.3
13627,0.4
11133,0.9
20912,0.2
7109,0.8
8068,0.2
8874,0.2
10009,0.1
27303,0.0
12628,0.6
25979,0.0
12594,0.5
2247,1.5
4485,0.9
4607,1.2
3231,0.7
2157,2.3
5822,0.2
19290,0.8
8248,2.1
3904,0.3
19790,0.0
1623,0.1
238,0.03
14361,0.0
16945,0.0
15509,0.5
10065,0.4
11587,0.3
5372,1.2
10800,0.0
23617,0.0
2515,0.0
19079,0.0
27242,0.0
3889,0.0
5001,1.2
27179,0.2
20591,0.3
27590,1.0
16684,0.2
18132,0.4
5918,0.9
24951,0.6
24792,0.5
24299,0.3
4602,1.2
23208,0.5
5778,0.3
21451,0.8
5177,0.0
7872,0.7
18089,0.4
7516,0.9
15179,0.2
24246,0.2
13329,0.3
21782,0.8
21803,1.6
16535,0.4
25550,1.9
23737,0.0
25101,0.2
8923,1.8
18234,0.2
15359,1.6
8760,0.5
8422,1.6
22886,1.4
24714,1.4
27422,0.0
23582,0.0
21240,0.5
20901,0.0
23436,0.5
4301,0.9
1720,0.9
9828,1.7
18669,1.0
10175,0.3
14994,0.0
3458,0.0
6231,0.6
17122,0.3
1808,0.9
5074,0.6
5234,0.3
12495,1.0
8454,1.8
12274,0.1
22786,1.7
5078,0.2
15876,0.3
2120,1.9
13778,0.0
12435,1.3
6668,0.0
16303,0.0
4615,1.2
22773,3.5
9542,1.0
24092,1.2
6621,0.1
5028,1.4
11962,0.6
10709,0.0
13975,0.5
19402,0.6
3161,0.5
5928,0.3
27076,1.1
19283,1.1
26929,0.8
2338,0.3
8626,0.3
26534,0.0
10518,0.3
28483,0.0
695,0.6
25879,0.6
17947,1.0
18295,0.3
22095,0.6
10928,0.0
11359,0.4
3491,0.3
824,0.0
12398,0.1
7566,2.2
14127,0.0
21219,0.2
24854,0.5
11927,0.8
6614,0.3
15568,0.6
12339,0.0
15310,0.5
22998,0.3
21260,0.3
23055,0.4
26194,1.3
17308,0.0
1941,1.4
19713,0.0
5701,0.2
24539,0.0
20490,0.3
5443,1.0
19111,0.0
9505,0.0
14356,0.1
732,1.7
21066,0.3
21612,0.0
8196,0.3
20259,0.4
164,0.04
17081,0.0
10000,0.5
24828,0.7
2122,1.2
26696,0.1
25694,0.4
1694,1.2
3835,0.7
25203,0.0
16257,0.0
28401,1.2
804,0.5
1762,1.4
8372,0.8
5242,0.5
596,0.0
21490,0.0
17226,0.2
27343,0.0
18094,0.5
8276,1.2
8141,0.2
18561,0.6
7791,0.0
23423,0.9
1048,0.0
3299,0.4
11951,1.1
18019,0.4
26636,0.0
9405,0.1
11015,0.5
21165,0.1
10498,0.0
7617,1.4
22465,0.1
7696,1.2
7329,0.5
20214,0.5
20188,0.4
28158,0.3
23219,0.5
22013,1.2
7332,0.1
16765,0.0
19294,0.8
21286,0.0
14496,0.4
9751,2.4
15900,0.7
1492,1.0
21413,0.0
28111,0.3
28337,2.0
19281,0.9
17151,0.2
21481,0.3
14629,0.6
10292,1.0
14638,1.5
4198,0.5
4749,1.7
15947,0.7
24254,0.3
11675,0.2
12974,0.0
10677,0.3
2589,0.2
8053,0.2
8499,0.5
16642,0.2
14803,0.6
13533,0.0
27514,0.6
24217,0.0
23291,0.8
10482,0.3
10218,0.2
24886,0.3
24174,0.5
1207,0.3
5106,0.4
24482,0.7
7333,0.3
24121,1.2
23241,0.4
22179,1.0
26847,0.4
3680,0.0
13511,0.4
19251,1.2
558,0.04
4558,1.2
2289,0.7
11918,0.7
22522,0.2
23825,0.3
16833,0.3
9572,1.1
4269,1.4
18858,0.0
20394,0.0
15026,0.3
792,0.9
27823,0.0
26945,0.8
27913,0.2
4751,2.1
4503,1.5
16797,0.4
17627,0.4
14577,0.7
23005,0.0
9865,0.6
19173,0.4
15702,0.1
15448,0.0
27763,0.0
11454,0.6
25976,0.0
20015,0.9
20322,0.3
25896,0.4
20984,0.3
9037,1.6
21655,0.0
21139,0.0
15612,1.0
21123,0.0
19252,1.1
28188,0.8
28404,1.5
19571,0.3
7678,1.7
19250,0.7
5437,1.3
787,1.1
20148,1.0
11303,0.5
6012,0.5
19428,0.8
1900,0.7
26323,0.6
9472,0.0
12126,0.2
26256,0.6
9773,0.9
18086,0.5
27101,0.1
27615,2.3
7291,0.3
3514,0.2
27936,0.0
16902,0.3
1658,1.4
13185,0.6
16984,0.0
6917,2.8
19163,0.4
3043,0.2
14901,0.0
21272,0.3
2789,1.0
15929,0.5
1054,0.2
1277,0.0
28499,0.0
14661,1.8
28119,0.0
7111,0.7
13054,0.3
20844,0.2
14330,0.0
2221,1.1
21735,0.3
12195,0.0
27346,0.0
1540,0.6
19951,0.6
10926,0.3
11314,0.3
6138,0.6
27100,0.3
15316,1.0
18659,0.7
5290,0.3
16708,0.3
12292,0.0
3923,0.5
15595,0.8
26518,0.2
9629,1.5
26244,1.5
14554,0.3
17371,0.0
17437,0.6
7919,0.2
28506,0.0
2527,0.0
10624,0.4
17711,0.2
23248,0.7
28238,1.2
11830,0.8
26914,0.9
20149,0.9
3464,0.0
21533,0.0
12535,1.0
8197,0.4
8972,1.5
26702,0.0
27770,0.2
8298,1.2
25559,1.4
21588,0.6
26068,0.5
4154,0.6
12907,0.1
17821,0.8
26417,0.0
7806,0.3
27571,1.0
5705,0.2
2226,1.5
20073,0.7
17676,0.3
23427,0.5
15512,0.8
14283,0.0
14249,0.4
1310,0.3
1593,0.3
8028,0.0
11225,1.7
4206,0.6
6561,0.1
20180,0.0
12626,0.4
18497,0.2
9699,1.6
5140,0.2
21157,0.0
22242,1.1
11909,2.6
9743,1.3
24365,0.5
21836,0.2
10652,0.4
24302,0.7
23656,0.0
28562,0.0
12777,0.6
7292,0.4
28305,0.9
5850,0.2
19902,0.7
17654,0.0
5865,0.3
17271,0.8
24195,0.3
14621,1.0
13378,0.0
4341,0.7
7651,0.8
20911,0.3
2420,0.6
3689,0.2
15229,0.5
28276,1.1
3217,0.7
23836,0.0
27094,0.4
22686,2.9
17286,0.7
6452,0.2
14594,0.1
22913,0.8
27647,0.8
6331,0.0
22106,2.0
13178,0.6
13699,0.1
21795,1.1
10718,0.2
19853,0.3
25641,1.4
9979,0.0
18749,0.0
13863,0.5
17490,0.3
10160,0.1
9499,0.7
25549,1.9
777,0.8
27435,0.5
8571,0.9
17207,0.5
10463,0.6
21774,0.7
28205,0.7
21926,0.1
20818,0.0
20080,1.2
20419,0.4
13025,0.0
16952,0.0
39,0.06
2123,1.9
17796,1.1
24344,0.9
23606,0.0
27426,0.0
4916,1.1
27681,1.1
20296,0.3
4315,1.2
18266,0.0
10896,0.3
12929,0.0
477,0.0
8359,1.9
648,0.05
1060,0.0
11116,0.8
12850,0.0
21839,0.7
22170,1.1
8474,0.6
26574,0.0
27444,0.1
7061,1.7
11528,0.0
13664,0.0
2771,0.6
8589,1.4
3036,0.6
25044,0.1
4141,0.8
7034,1.1
23820,0.2
17488,0.8
25322,0.0
5503,1.0
1979,3.1
21302,0.2
22436,0.0
26864,1.8
769,1.1
28284,0.7
25411,2.2
2863,0.3
26544,0.3
11473,0.4
10289,0.4
13909,0.9
12026,0.6
27268,0.0
9604,2.1
25905,0.3
9903,0.5
19094,0.2
22863,1.0
8394,1.0
24864,1.1
28140,0.2
15287,1.6
20395,0.0
10759,0.3
26272,1.8
13516,0.0
2884,0.5
18972,0.0
11884,0.6
12164,0.2
2348,0.5
8731,0.7
25872,0.7
23516,0.4
26085,0.8
4119,1.2
18336,1.0
4212,0.4
21933,0.5
26383,0.6
7595,1.7
19536,0.0
22570,0.3
19997,1.0
17168,0.8
11788,0.9
6520,0.5
4377,1.9
2073,1.3
8081,0.4
18990,0.0
12300,0.0
13106,0.2
5798,0.6
19926,1.2
16801,0.3
8302,1.2
20831,0.2
25320,0.2
25075,0.0
21421,0.0
10434,0.8
2511,0.2
22787,1.7
4183,0.7
124,0.03
24885,0.2
16454,0.2
21087,0.0
21599,0.5
14211,0.2
25031,0.4
8260,1.0
21257,0.0
12868,0.0
15576,1.3
10865,0.2
28368,0.8
2197,1.4
535,0.0
27294,0.2
19065,0.7
12828,0.0
27163,0.0
27067,0.9
16512,1.0
3150,0.6
15915,0.7
904,0.4
3094,0.4
7143,0.7
8649,0.4
10962,0.4
1615,0.2
19994,0.8
8792,1.0
6024,0.3
6070,1.0
11575,0.0
6857,1.5
22752,2.3
21574,0.0
20439,0.3
27027,0.8
9168,0.3
20152,0.8
4956,2.0
995,0.3
21033,0.0
21047,0.2
20612,1.4
5601,0.2
17997,0.6
6411,0.0
15471,0.4
5307,0.2
10278,0.3
23850,0.0
279,0.02
20599,0.0
10357,0.7
1856,1.0
18806,0.4
26032,0.5
20656,0.6
26818,0.6
3663,0.3
27811,0.2
19653,0.0
16046,0.3
21360,0.6
22055,1.2
12034,0.2
21786,0.9
13471,0.0
7166,0.3
14829,0.2
11208,1.4
24663,0.6
18331,0.3
7390,0.0
21550,0.3
15415,0.7
1622,0.3
20736,0.8
7744,0.8
24335,0.8
10794,0.0
14425,0.2
12500,0.4
24913,1.2
19624,0.2
3495,0.0
7840,0.3
7099,0.7
11498,0.3
3184,0.5
25097,0.6
11309,0.4
7930,0.3
18334,0.2
4997,1.1
8436,2.0
8435,1.7
18357,0.3
15925,1.0
11984,0.4
3221,0.5
10639,0.2
4253,0.3
10618,0.0
12950,0.0
18254,0.0
17701,0.3
27459,0.0
26826,0.4
28480,0.0
2749,1.0
7835,0.0
15457,0.0
13776,0.2
9546,0.9
15414,1.0
14393,0.2
27878,0.1
8943,1.2
19008,0.4
23846,0.2
10947,0.1
6979,1.1
5552,0.6
691,0.08
6805,1.7
3972,0.6
11756,0.6
22394,0.2
327,0.04
13717,0.0
674,0.09
20988,0.2
25588,1.4
7735,0.6
23598,0.0
14021,0.3
14309,0.0
21870,0.5
26654,0.5
10788,0.4
17785,0.2
17891,0.8
26158,1.2
7193,0.3
10949,0.0
15029,0.3
19960,0.3
1828,1.1
23763,0.0
2072,2.0
3468,0.0
26719,0.0
21909,0.6
28079,0.1
27221,0.0
23184,0.8
1033,0.2
19954,0.4
13750,0.4
11020,0.4
9480,0.2
1332,1.1
7616,1.8
17699,0.3
22928,0.3
10574,0.4
9834,1.8
3847,0.0
2265,1.3
23558,0.4
21111,0.0
25957,0.0
18913,0.3
2024,1.2
20791,0.4
1586,0.6
8794,0.5
13418,0.0
15503,0.4
5456,1.0
16355,0.0
27072,0.6
11769,1.2
25137,0.3
9787,1.3
4284,0.9
2867,0.6
3766,0.0
7238,0.2
14273,0.0
22384,0.0
27969,0.0
18872,0.0
24392,0.7
19426,1.1
20722,1.3
5954,1.1
1018,0.0
9555,0.7
1287,0.3
24224,0.5
27638,0.5
15082,0.4
17736,0.0
1016,0.3
28441,0.3
17478,0.2
22595,0.4
8140,0.6
26770,0.1
18787,0.4
24552,0.4
8408,1.3
1081,0.2
12040,0.4
21761,0.7
23328,1.8
16081,0.4
18390,0.2
7012,0.6
569,0.0
266,0.03
20457,0.1
9408,0.0
17230,0.8
24865,1.0
12955,0.0
23001,0.2
25032,0.2
26387,0.5
22441,0.0
19389,0.7
3516,0.0
3949,0.7
24454,0.3
8486,0.7
23094,0.0
249,0.05
17706,0.2
25693,0.7
8523,1.0
16849,0.4
7921,0.3
24567,0.0
11605,0.5
11097,0.8
9368,0.4
23512,0.6
5605,0.3
8044,0.0
19519,0.0
2752,0.8
11248,0.8
3691,0.0
12549,0.9
14745,0.6
14977,0.2
20703,1.0
4128,0.7
17777,0.2
19186,0.2
24328,0.2
15705,0.0
6059,0.6
12231,0.6
7995,0.0
2539,0.0
21184,0.2
20768,0.7
15693,0.4
20154,1.2
25335,0.3
6382,0.4
14970,0.2
1917,1.4
17305,0.4
18118,0.1
25176,0.5
6151,0.3
7668,1.4
