,surface_tmp_1h
8341,10.8
1101,-5.1
18682,22.2
23367,26.8
19651,3.2
12825,-1.3
11329,-0.5
22655,11.0
5136,-11.8
18122,8.2
25311,1.4
2994,-1.2
17471,6.1
2857,14.8
1978,-1.7
3007,-1.7
19603,3.5
22277,2.7
23081,-4.6
8739,-5.5
27861,3.6
8608,-3.5
7317,-10.8
19765,2.7
16612,15.4
12748,1.5
15116,-4.4
23624,-0.5
27891,2.5
23799,-4.2
12204,-4.3
7286,-10.0
9101,10.5
3287,7.0
12894,-2.7
14442,-1.1
2714,3.8
12087,-1.5
22917,-1.1
24212,10.6
20314,0.3
11331,-0.6
26075,8.1
1046,-4.3
481,-3.6
4483,-4.0
6000,-4.2
17862,11.9
4011,13.6
12218,-4.4
20387,-1.7
22244,4.3
13420,6.0
20886,10.6
27050,12.6
1180,-5.8
743,17.7
15197,-1.2
6116,0.1
18423,-0.3
14414,-2.0
17695,3.7
8641,-4.0
27978,-0.1
7160,-7.9
21313,8.0
4819,8.2
25531,25.9
13884,9.8
26470,1.4
9616,15.6
10284,3.5
16962,-2.8
626,3.8
3361,9.0
8521,-1.4
12488,14.1
24578,-1.9
13309,17.7
14700,22.1
11640,-6.6
23265,12.2
11863,19.1
7097,-6.5
16869,-1.4
22555,-3.4
6726,-7.0
12588,16.9
3345,8.8
3792,-3.3
20266,1.8
281,0.9
22105,23.3
11780,16.2
18681,22.2
13299,18.6
15141,-4.3
23826,-4.6
20284,1.3
2258,5.0
148,4.4
9455,-0.6
22100,23.6
13693,-2.8
28080,-2.3
19722,3.0
1511,11.6
15635,5.6
27777,8.4
13627,-2.3
11133,20.2
20912,9.6
7109,-6.7
8068,-8.2
8874,-2.5
10009,-3.4
27303,-1.0
12628,12.9
25979,-3.2
12594,16.8
2247,6.5
4485,-4.0
4607,-9.2
3231,1.0
2157,15.6
5822,-7.4
19290,21.6
8248,9.4
3904,-3.1
19790,2.8
1623,3.5
238,1.3
14361,-2.9
16945,-2.4
15509,7.9
10065,-4.5
11587,-6.4
5372,-0.9
10800,-2.6
23617,0.0
2515,-6.2
19079,0.1
27242,0.6
3889,-3.5
5001,-9.5
27179,3.1
20591,4.3
27590,28.4
16684,7.2
18132,7.4
5918,-6.0
24951,8.4
24792,28.0
24299,7.2
4602,-9.2
23208,-1.0
5778,-7.7
21451,12.4
5177,-12.2
7872,-5.5
18089,10.1
7516,8.0
15179,-3.9
24246,8.6
13329,15.5
21782,5.6
21803,5.5
16535,13.0
25550,22.1
23737,-3.0
25101,2.3
8923,7.3
18234,5.8
15359,21.0
8760,-5.8
8422,4.3
22886,-0.2
24714,22.4
27422,-3.0
23582,1.2
21240,4.8
20901,9.9
23436,15.8
4301,1.5
1720,1.9
9828,3.6
18669,20.2
10175,-5.5
14994,-2.8
3458,4.4
6231,0.3
17122,-0.1
1808,1.0
5074,-10.7
5234,-12.9
12495,14.9
8454,2.1
12274,-5.0
22786,24.3
5078,-10.8
15876,11.0
2120,13.7
13778,-3.6
12435,3.1
6668,-10.7
16303,-0.4
4615,-9.2
22773,23.9
9542,3.1
24092,26.9
6621,-9.7
5028,-10.1
11962,5.6
10709,-3.2
13975,15.2
19402,19.9
3161,-2.8
5928,-5.9
27076,9.4
19283,20.4
26929,30.1
2338,-1.4
8626,-3.8
26534,-0.6
10518,5.5
28483,9.2
695,15.4
25879,-1.4
17947,18.4
18295,3.6
22095,24.5
10928,-2.2
11359,-1.6
3491,2.4
824,7.6
12398,-1.7
7566,13.5
14127,4.4
21219,4.5
24854,20.2
11927,9.7
6614,-9.7
15568,6.8
12339,-5.9
15310,20.5
22998,-3.1
21260,5.2
23055,-4.1
26194,28.2
17308,16.2
1941,-1.4
19713,2.9
5701,-6.8
24539,-1.7
20490,-1.9
5443,9.6
19111,-0.7
9505,-1.3
14356,-2.6
732,17.6
21066,5.2
21612,7.3
8196,1.2
20259,2.2
164,3.7
17081,-2.6
10000,-3.1
24828,25.2
2122,14.0
26696,-3.8
25694,5.0
1694,2.5
3835,-2.7
25203,2.5
16257,-2.5
28401,17.2
804,10.6
1762,2.6
8372,7.6
5242,-13.1
596,-1.0
21490,10.8
17226,12.0
27343,-1.8
18094,9.7
8276,13.0
8141,-7.6
18561,12.0
7791,-3.7
23423,19.6
1048,-4.4
3299,7.6
11951,6.5
18019,16.2
26636,-3.0
