,r_humidity_1h
8341,57.8
1101,99.9
18682,41.3
23367,22.5
19651,88.7
12825,99.9
11329,65.9
22655,34.5
5136,70.7
18122,76.3
25311,99.9
2994,84.3
17471,76.6
2857,35.9
1978,63.2
3007,83.6
19603,89.9
22277,57.4
23081,91.7
8739,69.3
27861,78.9
8608,54.9
7317,90.3
19765,87.6
16612,69.4
12748,93.8
15116,99.9
23624,85.6
27891,81.5
23799,99.9
12204,99.9
7286,72.2
9101,26.0
3287,52.4
12894,99.9
14442,99.9
2714,58.9
12087,91.6
22917,45.9
24212,45.0
20314,90.0
11331,67.0
26075,54.1
1046,99.9
481,9.99
4483,75.6
6000,94.0
17862,60.6
4011,60.2
12218,99.9
20387,99.9
22244,47.1
13420,68.2
20886,54.4
27050,41.0
1180,99.9
743,49.6
15197,86.3
6116,93.1
18423,99.9
14414,99.9
17695,89.3
8641,67.9
27978,99.9
7160,56.1
21313,62.7
4819,30.8
25531,22.0
13884,57.3
26470,58.9
9616,39.0
10284,54.4
16962,99.9
626,9.05
3361,46.0
8521,77.6
12488,61.7
24578,99.9
13309,36.6
14700,31.1
11640,99.9
23265,39.1
11863,35.8
7097,51.6
16869,99.9
22555,99.9
6726,99.9
12588,47.6
3345,48.4
3792,99.9
20266,83.2
281,9.32
22105,43.2
11780,49.3
18681,39.4
13299,37.1
15141,99.9
23826,99.9
20284,82.0
2258,20.7
148,7.07
9455,99.9
22100,43.4
13693,99.9
28080,99.9
19722,87.4
1511,53.5
15635,88.0
27777,50.3
13627,99.9
11133,27.1
20912,61.5
7109,52.6
8068,99.9
8874,67.4
10009,91.3
27303,98.3
12628,49.5
25979,99.9
12594,48.4
2247,22.8
4485,76.5
4607,56.5
3231,60.4
2157,30.5
5822,78.5
19290,42.4
8248,63.7
3904,99.9
19790,86.5
1623,84.1
238,9.12
14361,99.9
16945,99.9
15509,54.4
10065,98.0
11587,99.9
5372,50.4
10800,91.2
23617,84.6
2515,95.3
19079,86.7
27242,92.2
3889,99.9
5001,53.6
27179,80.3
20591,92.2
27590,22.0
16684,86.5
18132,79.7
5918,67.7
24951,55.7
24792,29.6
24299,62.4
4602,56.8
23208,63.7
5778,77.8
21451,45.8
5177,83.6
7872,97.8
18089,66.5
7516,35.5
15179,99.9
24246,59.5
13329,36.7
21782,64.9
21803,70.1
16535,92.0
25550,23.6
23737,99.9
25101,94.9
8923,32.1
18234,83.3
15359,36.7
8760,73.4
8422,71.4
22886,42.8
24714,41.5
27422,99.9
23582,72.7
21240,70.5
20901,60.8
23436,22.1
4301,62.0
1720,73.0
9828,43.3
18669,48.5
10175,99.9
14994,99.9
3458,62.0
6231,97.3
17122,99.9
1808,99.9
5074,69.2
5234,94.3
12495,61.3
8454,99.9
12274,99.9
22786,18.1
5078,66.0
15876,84.0
2120,26.1
13778,99.9
12435,85.8
6668,99.9
16303,99.9
4615,55.6
22773,17.2
9542,86.5
24092,30.5
6621,99.9
5028,57.8
11962,48.4
10709,95.6
13975,46.2
19402,40.2
3161,73.9
5928,65.4
27076,44.5
19283,43.7
26929,24.2
2338,55.6
8626,62.8
26534,83.2
10518,45.2
28483,84.6
695,44.7
25879,77.9
17947,49.9
18295,88.5
22095,43.2
10928,88.8
11359,61.4
3491,68.8
824,43.1
12398,99.9
7566,42.5
14127,75.2
21219,73.0
24854,30.9
11927,40.2
6614,99.9
15568,53.0
12339,99.9
15310,39.0
22998,71.5
21260,70.0
23055,85.8
26194,29.5
17308,55.9
1941,62.9
19713,88.5
5701,80.7
24539,99.9
20490,99.9
5443,42.2
19111,90.3
9505,99.9
14356,99.9
732,45.9
21066,74.8
21612,61.1
8196,64.9
20259,80.7
164,7.79
17081,99.9
10000,88.0
24828,33.6
2122,25.6
26696,99.9
25694,47.8
1694,71.7
3835,99.9
25203,94.1
16257,99.9
28401,55.4
804,41.0
1762,73.6
8372,62.8
5242,95.0
596,9.99
21490,46.5
17226,89.5
27343,99.9
18094,66.3
8276,61.5
8141,99.9
18561,73.9
7791,78.7
23423,19.9
1048,99.9
3299,50.7
11951,43.7
18019,50.8
26636,95.2
9405,98.0
11015,55.0
21165,75.7
10498,36.1
7617,32.9
22465,99.9
7696,55.0
7329,92.9
20214,73.2
20188,70.0
28158,58.8
23219,54.1
22013,68.5
7332,93.7
16765,99.9
19294,42.8
21286,64.5
14496,99.9
9751,22.3
15900,81.7
1492,53.5
21413,48.2
28111,99.9
28337,34.9
19281,42.4
17151,99.9
21481,44.7
14629,60.5
10292,51.2
14638,49.0
4198,77.2
4749,29.7
15947,73.0
24254,59.9
11675,97.0
12974,99.9
10677,88.9
2589,99.9
8053,99.9
8499,75.5
16642,70.3
14803,60.6
13533,92.6
27514,54.5
24217,46.9
23291,35.6
10482,29.6
10218,99.9
24886,45.9
24174,39.5
1207,99.9
5106,56.6
24482,91.4
7333,93.8
24121,30.4
23241,43.7
22179,35.8
26847,28.9
3680,99.9
13511,89.3
19251,46.6
558,9.99
4558,54.2
2289,25.4
11918,37.2
22522,99.9
23825,99.9
16833,99.9
9572,59.2
4269,65.6
18858,71.6
20394,99.9
15026,99.9
792,43.3
27823,68.7
26945,22.9
27913,91.1
4751,30.4
4503,72.2
16797,99.9
17627,84.9
14577,99.9
23005,79.7
9865,55.7
19173,88.6
15702,99.9
15448,43.2
27763,44.2
11454,87.5
25976,99.9
20015,60.2
20322,91.2
25896,89.7
20984,79.5
9037,20.9
21655,63.6
21139,76.6
15612,61.3
21123,74.3
19252,47.2
28188,40.3
28404,56.0
19571,80.2
7678,43.8
19250,46.5
5437,44.4
787,44.1
20148,56.5
11303,60.2
6012,95.0
19428,43.9
1900,73.7
26323,27.2
9472,99.9
12126,99.7
26256,24.8
9773,23.4
18086,65.7
27101,55.4
27615,24.6
7291,81.6
3514,79.7
27936,95.0
16902,99.9
1658,70.0
13185,61.4
16984,99.9
6917,30.4
19163,92.1
3043,88.0
14901,89.1
21272,70.1
2789,36.6
15929,77.2
1054,99.9
1277,99.9
28499,88.1
14661,35.3
28119,99.9
7111,52.7
13054,99.9
20844,39.5
14330,99.9
2221,20.9
21735,56.1
12195,99.9
27346,99.9
1540,60.2
19951,93.2
10926,88.4
11314,54.4
6138,92.2
27100,55.5
15316,37.6
18659,39.7
5290,97.2
16708,97.9
12292,99.9
3923,88.5
15595,58.9
26518,76.3
9629,42.2
26244,22.0
14554,99.9
17371,66.6
17437,78.6
7919,94.5
28506,89.0
2527,99.9
10624,80.7
17711,91.7
23248,38.4
28238,25.9
11830,42.3
26914,24.4
20149,54.0
3464,67.6
21533,54.3
12535,51.6
8197,66.0
8972,29.0
26702,99.9
27770,46.2
8298,61.2
25559,20.9
21588,64.6
26068,58.7
4154,65.2
12907,99.9
17821,71.6
26417,52.5
7806,82.6
27571,28.0
5705,80.5
2226,23.0
20073,54.8
17676,88.9
23427,15.8
15512,54.0
14283,99.9
14249,99.9
1310,99.9
1593,73.6
8028,99.9
11225,37.6
4206,77.6
6561,99.9
20180,66.8
12626,49.0
18497,96.6
9699,29.8
5140,72.2
21157,77.8
22242,46.3
11909,36.3
9743,25.4
24365,73.9
21836,76.1
10652,86.4
24302,60.7
23656,90.3
28562,88.7
12777,95.1
7292,82.5
28305,23.3
5850,82.4
19902,85.2
17654,86.1
5865,71.7
17271,67.5
24195,44.0
14621,73.2
13378,51.3
4341,66.3
7651,36.8
20911,61.3
2420,73.5
3689,99.9
