,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
2714,0.0,0.0,-6.5,78.2,-1.2,0,-9.670856754853922,0.0
23926,307.0,1.2,7.0,29.8,25.6,0,-9.513161113307634,0.0
22788,72.0,0.7,-3.3,43.8,-0.2,0,-13.893974948576355,0.0
24078,343.0,0.4,5.5,41.0,13.5,0,-6.732175903154514,0.0
26312,61.0,0.2,-1.7,49.4,3.8,0,-10.928220602439922,0.0
11218,328.0,0.8,-0.7,47.1,5.2,0,-10.606619430764935,0.0
20787,0.0,0.2,6.6,46.6,14.2,0,-4.041806449292791,0.0
1046,0.0,0.0,-7.3,99.9,-3.5,0,-7.312987572880893,0.0
481,0.0,0.0,9.49,9.99,-2.2,4,-20.720756907661862,0.0
4483,274.0,0.7,-9.8,76.7,-4.4,0,-13.123021508047845,0.0
6000,86.0,0.6,-10.3,94.5,-4.1,2,-11.013624318160527,0.0
17759,81.0,0.8,5.8,71.6,7.9,0,1.0599028746970034,0.0
4011,335.0,0.7,4.5,60.4,14.2,0,-2.512216959214828,0.0
12094,76.0,0.4,-5.8,98.9,-2.6,0,-5.945334382906407,0.0
20048,329.0,1.3,4.7,56.7,13.9,0,-3.1760035011989123,0.0
14457,338.0,0.3,-2.0,99.9,-0.2,4,-2.013577901693343,0.0
19871,306.0,0.8,2.7,83.8,7.0,0,0.2319532770035257,0.0
20765,59.0,0.4,7.6,38.2,16.9,0,-5.768436497581859,0.0
20602,137.0,1.2,5.7,45.6,18.7,0,-5.153967238870076,0.0
1180,0.0,0.0,-7.8,99.9,-4.6,4,-7.812932558682637,0.0
743,65.0,1.0,2.5,47.9,16.4,0,-7.446229264992421,0.0
15053,49.0,0.3,-7.1,99.9,-4.0,4,-7.113009611252607,0.0
6116,346.0,0.3,-6.5,92.5,0.1,2,-7.514589900899616,0.0
18317,9.0,0.2,-1.7,99.9,1.2,0,-1.713611708839694,0.0
11419,0.0,0.0,-7.8,86.9,-4.0,0,-9.601187082443367,0.0
13473,0.0,0.2,-2.8,87.4,1.3,0,-4.602067411525555,0.0
16001,126.0,0.6,1.9,92.8,2.0,0,0.8572462895803976,0.0
25065,0.0,0.0,-3.5,99.9,1.5,0,-3.5134094964558824,0.0
7160,42.0,0.2,-10.3,57.0,-7.9,0,-17.201965691155184,0.0
16249,0.0,0.0,-2.3,99.9,-0.2,4,-2.3135441365799325,0.0
4819,161.0,1.5,-9.9,30.3,7.9,0,-24.135264589917348,0.0
25390,24.0,1.4,9.9,25.2,28.0,0,-9.147788052270213,0.0
13751,16.0,0.2,-6.0,99.9,-3.6,4,-6.0131311562265255,0.0
19653,18.0,0.2,-0.2,85.7,3.0,0,-2.3073215843800448,0.0
13921,355.0,0.6,6.2,51.0,14.0,0,-3.20221799505867,0.0
10183,0.0,0.0,-8.4,99.9,-5.3,0,-8.412866695766148,0.0
21610,0.0,0.0,4.2,69.5,6.8,4,-0.8883626109251505,0.0
626,26.5,0.04,9.5,9.99,-1.9,4,-20.71300580523527,0.0
3361,67.0,0.4,1.5,46.7,9.1,0,-8.69297055394189,0.0
8521,267.0,0.7,0.5,77.7,-1.4,0,-2.946313012461547,0.0
10272,41.0,0.8,-0.2,48.9,7.0,0,-9.670526814706546,0.0
24444,0.0,0.0,-5.8,99.9,-1.6,0,-5.813153316027124,0.0
27197,0.0,0.0,-5.8,98.5,-0.8,0,-5.998539818063652,0.0
12639,0.0,0.0,1.2,67.9,7.5,0,-4.077985032058189,0.0
23134,138.0,0.4,-1.0,43.0,5.2,0,-12.023620680420473,0.0
25406,131.0,2.2,9.5,22.0,27.7,0,-11.207506182148476,0.0
7097,13.0,0.3,-9.3,54.4,-6.4,0,-16.820012153633055,0.0
23954,281.0,1.1,8.0,31.6,27.6,0,-7.885919528046582,0.0
20628,349.0,0.3,7.5,35.8,23.5,0,-6.707695685695758,0.0
6726,265.0,0.6,-9.8,99.9,-6.7,4,-9.812713669476473,0.0
16799,0.0,0.0,-4.3,99.9,-1.2,4,-4.313320109999687,0.0
3345,320.0,0.2,1.2,44.1,8.7,0,-9.699383876928447,0.0
3792,251.0,0.9,-5.6,99.9,-3.3,0,-5.613175494509079,0.0
10495,0.0,0.0,-2.0,47.7,4.8,0,-11.644580914688769,0.0
281,7.5,0.05,9.68,9.36,1.1,0,-21.324067917317482,0.0
19438,0.0,0.0,-0.2,69.8,7.4,0,-5.0537467583024265,0.0
19193,30.0,0.8,5.5,47.1,16.1,0,-4.908952878648108,0.0
18575,296.0,0.8,8.0,45.5,26.4,0,-3.0806314328271704,0.0
23852,55.0,0.6,1.0,47.7,9.5,0,-8.881150946753621,0.0
14997,71.0,0.3,-6.6,99.9,-3.5,4,-6.613064788912897,0.0
23694,0.0,0.0,-9.1,99.9,-4.2,0,-9.11279006819773,0.0
17434,0.0,0.0,3.0,75.6,5.7,4,-0.8927575292039404,0.0
2258,93.0,1.5,-0.8,23.9,11.0,0,-18.949678827038753,0.0
148,3.3,0.02,9.88,6.15,6.9,0,-25.89703058832375,0.0
12673,0.0,0.0,-1.7,85.0,4.4,0,-3.891110258404882,0.0
21271,356.0,0.2,4.5,60.0,8.9,1,-2.6019796367975245,0.0
17970,53.0,0.5,8.3,54.0,14.4,0,-0.4751828600053916,0.0
12774,36.0,0.3,-4.1,99.9,-0.6,4,-4.113342428591737,0.0
19611,0.0,0.0,-0.7,87.2,3.1,0,-2.5645301285801105,0.0
1511,310.0,0.7,3.3,59.6,13.4,0,-3.8237372805453766,0.0
11514,0.0,0.1,-9.8,99.9,-5.6,0,-9.812713669476473,0.0
10009,0.0,0.0,-7.1,94.3,-4.0,0,-7.8607214433391155,0.0
28400,0.0,0.0,2.9,87.1,9.1,0,0.96394121784014,0.0
28252,318.0,0.7,11.1,43.8,26.0,0,-0.7729091508502353,0.0
7109,55.0,0.8,-9.3,52.4,-6.7,0,-17.266925638914966,0.0
8068,45.0,0.2,-12.2,99.9,-8.0,0,-12.212453468375333,0.0
14779,287.0,0.4,1.4,57.8,4.4,0,-6.019001895045704,0.0
9910,8.0,0.8,-3.7,70.2,-1.6,0,-8.342741902220977,0.0
14734,302.0,0.9,3.0,50.8,8.1,0,-6.2183398487082275,0.0
9878,88.0,1.2,-2.5,60.5,-0.6,0,-9.105521424347664,0.0
12467,231.0,1.0,3.8,61.3,14.9,0,-2.9742311516728455,0.0
2247,89.0,1.7,-1.0,19.6,13.9,0,-21.420252751368004,0.0
4485,300.0,1.2,-9.8,76.7,-4.8,0,-13.123021508047845,0.0
4607,171.0,1.3,-14.0,56.1,-9.2,0,-20.871152569819237,0.0
3231,52.0,0.6,-2.7,61.1,1.2,0,-9.168675006169302,0.0
2157,83.0,2.1,-1.0,25.5,13.9,0,-18.359272185245537,0.0
5822,2.0,0.2,-13.1,82.7,-7.7,0,-15.422405670533841,0.0
19180,76.0,0.8,4.7,47.7,13.2,0,-5.476704540291129,0.0
8248,297.0,1.1,0.0,64.9,9.6,0,-5.822312391019857,0.0
3904,92.0,0.6,-4.6,99.9,-3.0,0,-4.61328666713912,0.0
10124,36.0,0.4,-8.1,96.9,-5.4,0,-8.50533606263085,0.0
1623,255.0,0.8,1.7,69.3,5.8,0,-3.325739058701946,0.0
238,4.8,0.03,9.77,8.36,2.0,0,-22.54555369208721,0.0
14224,50.0,0.1,-2.8,99.9,-0.7,4,-2.8134879547974765,0.0
15496,256.0,0.7,6.2,51.2,7.4,0,-3.1496158877082547,0.0
13289,33.0,0.2,8.3,37.0,17.0,0,-5.56240984197237,0.0
20963,0.0,0.4,0.7,79.8,5.3,0,-2.3917104704628342,0.0
11471,0.0,0.2,-8.9,96.8,-4.9,0,-9.315760213578695,0.0
5372,333.0,1.0,-13.2,51.0,-0.6,0,-21.21947327063261,0.0
22563,309.0,0.7,2.0,40.9,6.0,0,-9.929441948893693,0.0
23486,23.0,0.5,-5.3,77.3,1.0,0,-8.651532009580821,0.0
2515,0.0,0.0,-10.6,96.4,-6.2,0,-11.061817375617045,0.0
11282,137.0,0.4,-4.0,57.0,0.6,0,-11.274711703939161,0.0
25631,218.0,0.5,-2.0,67.0,3.1,0,-7.3154138612665776,0.0
3889,0.0,0.0,-6.0,99.9,-3.5,0,-6.0131311562265255,0.0
5001,93.0,1.8,-15.5,54.5,-9.6,0,-22.611734870667306,0.0
27028,278.0,0.3,-1.2,67.7,5.6,0,-6.4144883000469575,0.0
20466,187.0,0.4,-3.5,99.9,-1.1,4,-3.5134094964558824,0.0
16219,0.0,0.0,-2.7,99.9,-0.8,4,-2.71349918181331,0.0
21430,0.0,0.0,7.3,46.3,10.8,0,-3.48688140660685,0.0
18026,0.0,0.0,6.0,66.6,10.1,0,0.24734778953596925,0.0
5918,71.0,0.9,-10.6,67.3,-6.0,0,-15.492871831546614,0.0
