,air_temperature_1h
8341,2.7
1101,-8.6
18682,7.1
23367,4.0
19651,-1.0
12825,-4.5
11329,-5.0
22655,3.3
5136,-17.3
18122,4.0
25311,-2.7
2994,-6.1
17471,2.9
2857,0.9
1978,-0.7
3007,-6.1
19603,-1.5
22277,0.0
23081,-8.9
8739,-4.1
27861,-1.8
8608,-1.5
7317,-14.9
19765,-0.4
16612,6.2
12748,-3.2
15116,-6.8
23624,-6.5
27891,-2.0
23799,-9.1
12204,-7.6
7286,-12.2
9101,3.2
3287,-0.8
12894,-6.0
14442,-2.5
2714,-4.6
12087,-4.3
22917,-3.7
24212,4.0
20314,-2.3
11331,-5.1
26075,1.4
1046,-7.9
481,9.34
4483,-9.4
6000,-10.3
17862,7.3
4011,4.0
12218,-7.8
20387,-5.1
22244,1.0
13420,0.4
20886,3.8
27050,5.0
1180,-9.1
743,3.2
15197,-2.3
6116,-6.3
18423,-3.8
14414,-3.3
17695,2.0
8641,-3.5
27978,-5.3
7160,-10.1
21313,3.5
4819,-10.3
25531,9.1
13884,4.0
26470,-2.7
9616,6.2
10284,-1.0
16962,-5.5
626,9.85
3361,1.2
8521,0.5
12488,3.5
24578,-5.6
13309,8.3
14700,8.0
11640,-10.4
23265,0.5
11863,5.2
7097,-9.3
16869,-4.3
22555,-6.5
6726,-9.9
12588,6.2
3345,1.4
3792,-5.5
20266,-1.3
281,9.7
22105,7.6
11780,3.5
18681,7.0
13299,8.6
15141,-6.6
23826,-9.3
20284,-1.3
2258,-2.5
148,9.83
9455,0.2
22100,8.1
13693,-5.1
28080,-6.6
19722,-0.2
1511,4.7
15635,3.8
27777,2.9
13627,-5.5
11133,4.0
20912,3.2
7109,-9.1
8068,-12.1
8874,-2.3
10009,-6.8
27303,-6.0
12628,5.8
25979,-7.8
12594,6.2
2247,-1.8
4485,-9.6
4607,-14.2
3231,-2.8
2157,-0.5
5822,-12.4
19290,6.5
8248,0.0
3904,-5.3
19790,-0.2
1623,0.0
238,9.72
14361,-5.3
16945,-5.1
15509,4.7
10065,-7.4
11587,-10.3
5372,-13.1
10800,-5.6
23617,-6.3
2515,-10.7
19079,-2.7
27242,-5.0
3889,-6.0
5001,-15.5
27179,-3.0
20591,-0.2
27590,10.3
16684,1.2
18132,3.2
5918,-10.6
24951,3.8
24792,9.9
24299,2.0
4602,-14.2
23208,-3.5
5778,-12.7
21451,7.6
5177,-18.7
7872,-9.4
18089,6.0
7516,-3.2
15179,-5.0
24246,1.5
13329,7.8
21782,4.0
21803,3.5
16535,3.3
25550,8.6
23737,-8.3
25101,-1.8
8923,2.0
18234,2.9
15359,9.8
8760,-5.0
8422,2.0
22886,-3.2
24714,6.2
27422,-7.4
23582,-4.8
21240,1.9
20901,3.3
23436,4.5
4301,-1.7
1720,1.7
9828,0.0
18669,6.2
10175,-8.8
14994,-6.3
3458,0.5
6231,-5.3
17122,-3.5
1808,0.5
5074,-17.0
5234,-19.3
12495,3.8
8454,0.0
12274,-8.6
22786,4.7
5078,-16.9
15876,6.0
2120,-1.2
13778,-5.8
12435,-1.7
6668,-15.7
16303,-2.5
4615,-14.0
22773,3.8
9542,3.8
24092,9.0
6621,-14.5
5028,-16.2
11962,1.4
10709,-7.1
13975,7.0
19402,7.5
3161,-5.3
5928,-10.4
27076,3.7
19283,6.0
26929,8.5
2338,-5.5
8626,-2.5
26534,-5.6
10518,-1.7
28483,2.7
695,2.2
25879,-3.8
17947,9.1
18295,1.0
22095,8.1
10928,-5.0
11359,-4.6
3491,-0.7
824,1.4
12398,-4.6
7566,-1.2
14127,-0.7
21219,1.7
24854,9.3
11927,3.5
6614,-14.5
15568,6.0
12339,-9.4
15310,8.6
22998,-7.0
21260,2.4
23055,-8.1
26194,6.6
17308,7.1
1941,0.7
19713,-0.5
5701,-13.1
24539,-5.6
20490,-4.8
5443,-8.9
19111,-3.5
9505,0.0
14356,-5.1
732,3.3
21066,1.2
21612,5.0
8196,-3.7
20259,-0.8
164,9.8
17081,-5.1
10000,-6.1
24828,9.8
2122,-0.8
26696,-8.3
25694,0.5
1694,2.0
3835,-4.6
25203,-0.5
16257,-4.8
28401,8.6
804,2.7
1762,2.4
8372,2.2
5242,-19.5
596,9.59
21490,7.3
17226,3.0
27343,-6.5
18094,5.8
8276,1.5
8141,-9.1
18561,3.3
7791,-6.3
23423,4.2
1048,-7.9
3299,0.0
11951,1.9
18019,9.0
26636,-7.6
9405,1.7
11015,-0.5
21165,1.4
10498,0.5
7617,-0.7
22465,-5.3
7696,-3.0
7329,-15.7
20214,1.4
20188,1.4
28158,3.3
23219,-2.3
22013,6.2
7332,-15.7
16765,-2.3
19294,6.2
21286,3.0
14496,-1.8
9751,4.3
15900,6.3
1492,4.8
21413,6.8
28111,-4.5
28337,11.6
19281,6.0
17151,-2.3
21481,7.5
14629,5.0
10292,-0.5
14638,5.5
4198,1.0
4749,-11.6
15947,6.8
24254,1.2
11675,-6.1
12974,-6.8
10677,-6.1
2589,-12.6
8053,-11.4
8499,0.9
16642,5.5
14803,0.9
13533,-3.7
27514,3.2
24217,3.5
23291,1.9
10482,2.2
10218,-8.1
24886,6.8
24174,5.8
1207,-9.4
5106,-17.0
24482,-4.1
7333,-15.9
24121,8.3
23241,-0.7
22179,3.8
26847,4.5
3680,-5.5
13511,-2.8
19251,5.3
558,9.24
4558,-12.9
2289,-3.7
11918,4.3
22522,-6.0
23825,-9.3
16833,-4.0
9572,5.3
4269,-0.7
18858,0.0
20394,-4.8
15026,-6.6
792,2.9
27823,-0.7
26945,9.1
27913,-3.8
4751,-11.6
4503,-10.6
16797,-3.0
17627,2.4
14577,-0.4
23005,-7.4
9865,-1.7
19173,-2.5
15702,1.2
15448,6.8
27763,4.3
11454,-7.8
25976,-7.8
20015,3.8
20322,-3.0
25896,-5.3
20984,-0.7
9037,4.5
21655,4.8
21139,1.4
15612,5.2
21123,1.5
19252,5.5
28188,6.2
28404,8.6
19571,-1.0
7678,-2.2
19250,5.0
5437,-9.3
787,3.0
20148,4.8
11303,-4.0
6012,-9.8
19428,7.3
1900,0.9
26323,3.2
9472,0.0
12126,-6.0
26256,6.8
9773,2.7
18086,6.2
27101,1.0
27615,10.8
7291,-13.9
3514,-2.5
27936,-4.8
16902,-5.0
1658,2.2
13185,4.5
16984,-5.5
6917,-3.2
19163,-3.0
3043,-6.6
14901,-4.0
21272,2.5
2789,-1.2
15929,6.8
1054,-8.1
1277,-9.1
28499,3.2
14661,7.3
28119,-3.0
7111,-9.3
13054,-7.8
20844,7.1
14330,-4.8
2221,-1.0
21735,5.2
12195,-7.1
27346,-6.5
1540,2.9
19951,1.5
10926,-5.0
11314,-3.7
6138,-5.8
27100,1.4
15316,9.1
18659,7.5
5290,-19.3
16708,-0.4
12292,-9.1
3923,-2.2
15595,5.7
26518,-5.0
9629,6.0
26244,7.3
14554,-1.0
17371,5.2
17437,3.0
7919,-9.4
28506,2.5
2527,-11.2
10624,-5.1
17711,2.4
23248,0.5
28238,9.6
11830,5.5
26914,7.6
20149,4.7
3464,0.0
21533,5.8
12535,7.0
8197,-3.5
8972,2.9
26702,-8.6
27770,3.7
8298,2.5
25559,9.0
21588,4.5
26068,0.5
4154,3.0
12907,-5.8
17821,5.8
26417,-2.0
7806,-6.6
27571,9.0
5705,-13.2
2226,-0.8
20073,4.5
17676,2.2
23427,4.7
15512,4.8
14283,-3.7
14249,-3.2
1310,-6.1
1593,1.4
8028,-12.4
11225,0.5
4206,0.9
6561,-12.9
20180,1.9
12626,5.8
18497,0.0
9699,7.0
5140,-17.5
21157,1.4
22242,1.0
11909,4.3
9743,5.2
24365,0.4
21836,3.2
10652,-5.6
24302,2.2
23656,-7.1
28562,3.0
