,dewpoint_1h
8341,-4.796889096475256
1101,-8.612844778823426
18682,-5.1898964027977685
23367,-15.579780929815762
19651,-2.6298880517955614
12825,-4.5132978100889725
11329,-10.394878438901877
22655,-10.91505404862182
5136,-21.35337396128197
18122,0.2031143210943257
25311,-2.71349918181331
2994,-8.318793554985259
17471,-0.8096431764923546
2857,-12.554766539775569
1978,-6.8356776234259105
3007,-8.426057920570548
19603,-2.9423652869733488
22277,-7.42565446117025
23081,-10.0043997441881
8739,-8.892762362450672
27861,-4.9792779882071585
8608,-9.4048906860194
7317,-16.13386014738292
19765,-2.2071386594670637
16612,1.0098343028622578
12748,-4.056975511958292
15116,-6.813042703837756
23624,-8.514886372500744
27891,-4.744755871288179
23799,-9.11279006819773
12204,-7.6129545503509055
7286,-16.184693958663757
9101,-14.507770479406624
3287,-9.346107839432316
12894,-6.0131311562265255
14442,-2.513521649855965
2714,-11.428633843600984
12087,-5.462486472898637
22917,-13.685406230978801
24212,-6.8820346396725585
20314,-3.717985042605268
11331,-10.281083863929172
26075,-6.883995428880621
1046,-7.9129215698540225
481,-20.837032251833296
4483,-12.9131889510055
6000,-11.080322254468362
17862,0.17626952900561155
4011,-3.0289659417613257
12218,-7.812932558682637
20387,-5.113231022444888
22244,-9.043171259846682
13420,-4.785404818738365
20886,-4.571165404659871
27050,-7.184230677531918
1180,-9.11279006819773
743,-6.346312384580783
15197,-4.2783287423183385
6116,-7.2323495072382595
18423,-3.813375941507313
14414,-3.3134318897732564
17695,0.4229190576777497
8641,-8.57898302512238
27978,-5.31320879725955
7160,-17.203434001903606
21313,-2.9543363842806327
4819,-24.30517984353544
25531,-11.544660863295483
13884,-3.691492880300404
26470,-9.636276213471863
9616,-6.753491819819068
10284,-9.054174426444398
16962,-5.513186590755566
626,-21.579778203880586
3361,-9.161641355347086
8521,-2.963653108666551
12488,-3.1706196548869503
24578,-5.613175494509079
13309,-5.7055185214799105
14700,-8.091762176331153
11640,-10.412648367001983
23265,-11.850711417181644
11863,-8.755377821747981
7097,-17.449975119899293
16869,-4.313320109999687
22555,-6.5130758384559835
6726,-9.91270277405484
12588,-4.125698248986066
3345,-8.325568149378823
3792,-5.513186590755566
20266,-3.7848930059638577
281,-21.357849530257226
22105,-4.139701990854412
11780,-6.148683225471169
18681,-5.900611085682296
13299,-5.258954924141573
15141,-6.613064788912897
23826,-9.3127682166399
20284,-3.9790006748225206
2258,-22.057396081635453
148,-24.387899519862682
9455,0.18617320313567934
22100,-3.62364173183812
13693,-5.113231022444888
28080,-6.613064788912897
19722,-2.041121780427791
1511,-3.9542242781090073
15635,1.9938997198894215
27777,-6.4404056766464
13627,-5.513186590755566
11133,-13.309089228194942
20912,-3.498146184181538
7109,-17.03488145818722
8068,-12.11246425637877
8874,-7.525240688252066
10009,-7.980682431131541
27303,-6.2248353702961206
12628,-3.9718664970161512
25979,-7.812932558682637
12594,-3.903259047397933
2247,-20.352930034836024
4485,-12.960972014825268
4607,-20.97752718286253
3231,-9.410380485551812
2157,-15.788754070749585
5822,-15.369354432986151
19290,-5.386174474571288
8248,-6.067384870330232
3904,-5.31320879725955
19790,-2.1814728164114117
1623,-2.366051364161982
238,-21.591254116036907
14361,-5.31320879725955
16945,-5.113231022444888
15509,-3.7312589700536622
10065,-7.661753994478468
11587,-10.312659239071847
5372,-21.262390857569148
10800,-6.806960336701951
23617,-8.469416733699576
2515,-11.305476121055735
19079,-4.610396250663882
27242,-6.0700865139502325
3889,-6.0131311562265255
5001,-22.800580920538287
27179,-5.9171541596351735
20591,-1.313561860783444
27590,-10.533459314259668
16684,-0.8042837137275449
18132,0.0276665144991684
5918,-15.421172400087276
24951,-4.25703806659209
24792,-7.072997890561362
24299,-4.440875601613234
4602,-20.916506333371228
23208,-9.39606628619808
5778,-15.769816123272335
21451,-3.357979104810749
5177,-20.78641301871792
7872,-9.68332355102184
18089,0.2265741315820964
7516,-16.35307612655998
15179,-5.013242142043061
24246,-5.543655794525592
13329,-6.115641517908332
21782,-2.0131056504794658
21803,-1.442746947003435
16535,2.123701628556436
25550,-11.087230766165666
23737,-8.312877661243027
25101,-2.5095266939024263
8923,-12.964814506699126
18234,0.3451197423364378
15359,-4.3321125407748475
8760,-9.024088778710553
8422,-2.6355836126618417
22886,-14.0857831194701
24714,-5.940379536860919
27422,-7.412976560700552
23582,-8.953518752565724
21240,-2.9028340219679767
20901,-3.556972646371681
23436,-15.373341422730734
