,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
11488,1.0,0.2,-7.9,88.6,-4.2,0,-9.452987562335752,0.0
13507,0.0,0.0,-1.7,79.8,2.6,4,-4.731522978645222,0.0
18535,274.0,0.7,0.4,94.9,3.3,4,-0.3225031339864406,0.0
26284,220.0,1.0,7.0,19.7,25.5,0,-14.669433834164051,0.0
1009,4.0,0.3,-6.1,95.9,-2.8,0,-6.647748790851012,0.0
25720,356.0,0.9,0.0,49.7,5.3,0,-9.278864726369042,0.0
16760,0.0,0.0,-1.7,99.9,3.6,4,-1.713611708839694,0.0
27444,17.0,0.2,-7.3,99.9,-3.1,0,-7.312987572880893,0.0
11565,0.0,0.0,-9.6,99.9,-5.5,0,-9.612735474330787,0.0
11037,72.0,0.3,-0.7,56.2,4.1,0,-8.355743146255397,0.0
8371,271.0,2.9,2.7,57.8,10.8,0,-4.796889096475256,0.0
389,0.0,0.0,9.55,9.99,-1.1,4,-20.674251393964397,0.0
4351,261.0,1.0,-2.5,62.6,0.6,0,-8.668500204867156,0.0
9579,213.0,0.8,4.3,75.2,4.2,4,0.2929420751639595,0.0
25083,189.0,0.3,-0.7,86.4,3.9,0,-2.6889679795069914,0.0
24183,40.0,1.1,7.1,34.2,17.3,0,-7.656913640584961,0.0
23706,7.0,0.2,-7.4,97.9,-2.1,0,-7.674966112523857,0.0
17582,287.0,0.2,2.7,79.8,5.0,0,-0.4423128498622804,0.0
6828,5.0,0.8,-4.0,47.4,5.0,2,-13.566031942594213,0.0
4263,89.0,1.7,0.2,64.1,4.0,0,-5.794971259003023,0.0
17276,303.0,0.5,4.2,82.8,14.1,4,1.534038488996296,0.0
4751,106.0,2.1,-12.2,26.8,4.6,0,-27.50466952661871,0.0
6201,68.0,0.8,-4.6,91.1,1.5,4,-5.831539746618099,0.0
19224,99.0,1.4,-0.4,73.2,3.3,0,-4.6159380293210335,0.0
12579,324.0,0.9,6.5,54.2,20.0,0,-2.1020252052940407,0.0
22955,73.0,0.5,-3.8,46.9,-1.2,0,-13.512302773065635,0.0
28187,320.0,0.5,3.2,60.7,8.8,0,-3.67351940253621,0.0
4624,126.0,0.7,-14.0,57.3,-9.0,0,-20.626841026566762,0.0
17250,315.0,0.8,2.9,92.7,11.4,4,1.8336329176331645,0.0
8887,357.0,0.3,-5.6,82.3,-6.0,0,-8.138020057579249,0.0
17994,59.0,0.9,9.3,51.1,18.2,0,-0.3060083391714573,0.0
20093,325.0,1.0,4.8,54.8,15.0,0,-3.5398268101297905,0.0
14686,308.0,0.9,7.3,41.6,21.2,4,-4.913236689893808,0.0
25564,74.0,2.8,9.0,19.9,25.2,0,-12.877188491533234,0.0
28388,331.0,1.7,11.1,43.0,26.0,0,-1.0253786482441514,0.0
4896,153.0,0.8,-11.2,27.1,0.1,0,-26.511224591276026,0.0
24541,0.0,0.0,-4.8,94.8,-1.2,0,-5.5059170150444325,0.0
3937,1.0,0.3,-4.8,99.9,-3.0,0,-4.813264395250418,0.0
19163,0.0,0.0,-3.5,90.9,-0.4,0,-4.772045479509674,0.0
27673,184.0,0.6,13.1,16.1,31.7,0,-12.132440213301175,0.0
5074,77.0,0.6,-16.4,59.3,-10.5,0,-22.501574480966585,0.0
15974,61.0,0.9,6.6,74.2,10.8,0,2.330294741249483,0.0
23765,0.0,0.0,-8.1,99.9,-3.2,0,-8.11289960620783,0.0
7966,0.0,0.0,-10.6,97.0,-6.9,0,-10.983791374028698,0.0
2274,62.0,1.5,-1.7,21.8,6.9,0,-20.78647418086129,0.0
14068,0.0,0.3,7.5,42.1,13.3,0,-4.57367402790516,0.0
8368,285.0,1.5,2.9,57.7,11.5,0,-4.63189979415137,0.0
3235,358.0,0.2,-4.0,68.2,-0.2,0,-9.001638771929994,0.0
9992,188.0,0.5,-4.6,77.8,-2.4,0,-7.8878975126039235,0.0
7888,50.0,0.4,-8.6,93.8,-5.0,0,-9.418898723625313,0.0
23309,266.0,0.9,1.4,34.9,15.5,0,-12.459837737347936,0.0
4706,29.0,1.3,-12.4,32.7,-1.3,0,-25.501376162398486,0.0
18282,0.0,0.0,2.7,84.0,5.6,0,0.2649119818782917,0.0
1577,0.0,0.0,2.5,62.0,7.6,0,-4.052662555156683,0.0
4778,14.0,1.5,-11.4,29.2,7.8,0,-25.866462928329767,0.0
25751,83.0,0.4,-1.0,58.8,3.6,0,-8.055200576547769,0.0
2328,37.0,0.2,-4.5,31.9,0.9,0,-18.77812558431512,0.0
20418,0.0,0.0,-4.8,99.9,-1.7,0,-4.813264395250418,0.0
22914,61.0,0.6,-3.2,43.3,-0.1,0,-13.943469767298467,0.0
27211,0.0,0.0,-2.3,78.8,3.0,0,-5.482923318652989,0.0
