time,stn,lon,lat,s,v1,v10,weather,weather_15
202301230000,548,127.63955688,37.26882935,2,23949,-999,0,-999
202301230001,548,127.63955688,37.26882935,2,23949,-999,0,-999
202301230002,548,127.63955688,37.26882935,2,25288,-999,0,-999
202301230003,548,127.63955688,37.26882935,2,25359,-999,0,-999
202301230004,548,127.63955688,37.26882935,2,26563,-999,0,-999
202301230005,548,127.63955688,37.26882935,2,26650,-999,0,-999
202301230006,548,127.63955688,37.26882935,2,25687,-999,0,-999
202301230007,548,127.63955688,37.26882935,2,25619,-999,0,-999
202301230008,548,127.63955688,37.26882935,2,24717,-999,0,-999
202301230009,548,127.63955688,37.26882935,2,24670,-999,0,-999
202301230010,548,127.63955688,37.26882935,2,24670,-999,0,-999
202301230011,548,127.63955688,37.26882935,2,22878,-999,0,-999
202301230012,548,127.63955688,37.26882935,2,22750,-999,0,-999
202301230013,548,127.63955688,37.26882935,2,23242,-999,0,-999
202301230014,548,127.63955688,37.26882935,2,23269,-999,0,-999
202301230015,548,127.63955688,37.26882935,2,23419,-999,0,-999
202301230016,548,127.63955688,37.26882935,2,23430,-999,0,-999
202301230017,548,127.63955688,37.26882935,2,23458,-999,0,-999
202301230018,548,127.63955688,37.26882935,2,23460,-999,0,-999
202301230019,548,127.63955688,37.26882935,2,23460,-999,0,-999
202301230020,548,127.63955688,37.26882935,2,22472,-999,0,-999
202301230021,548,127.63955688,37.26882935,2,22420,-999,0,-999
202301230022,548,127.63955688,37.26882935,2,22700,-999,0,-999
202301230023,548,127.63955688,37.26882935,2,22720,-999,0,-999
202301230024,548,127.63955688,37.26882935,2,23298,-999,0,-999
202301230025,548,127.63955688,37.26882935,2,23330,-999,0,-999
202301230026,548,127.63955688,37.26882935,2,23330,-999,0,-999
202301230027,548,127.63955688,37.26882935,2,21752,-999,0,-999
202301230028,548,127.63955688,37.26882935,2,21640,-999,0,-999
202301230029,548,127.63955688,37.26882935,2,22721,-999,0,-999
202301230030,548,127.63955688,37.26882935,2,22779,-999,0,-999
202301230031,548,127.63955688,37.26882935,2,21053,-999,0,-999
202301230032,548,127.63955688,37.26882935,2,20930,-999,0,-999
202301230033,548,127.63955688,37.26882935,2,21072,-999,0,-999
202301230034,548,127.63955688,37.26882935,2,21080,-999,0,-999
202301230035,548,127.63955688,37.26882935,2,21080,-999,0,-999
202301230036,548,127.63955688,37.26882935,2,19736,-999,0,-999
202301230037,548,127.63955688,37.26882935,2,19640,-999,0,-999
202301230038,548,127.63955688,37.26882935,2,20438,-999,0,-999
202301230039,548,127.63955688,37.26882935,2,20480,-999,0,-999
202301230040,548,127.63955688,37.26882935,2,20620,-999,0,-999
202301230041,548,127.63955688,37.26882935,2,20630,-999,0,-999
202301230042,548,127.63955688,37.26882935,2,20742,-999,0,-999
202301230043,548,127.63955688,37.26882935,2,20750,-999,0,-999
202301230044,548,127.63955688,37.26882935,2,20750,-999,0,-999
202301230045,548,127.63955688,37.26882935,2,20143,-999,0,-999
202301230046,548,127.63955688,37.26882935,2,20100,-999,0,-999
202301230047,548,127.63955688,37.26882935,2,20117,-999,0,-999
202301230048,548,127.63955688,37.26882935,2,20119,-999,0,-999
202301230049,548,127.63955688,37.26882935,2,20167,-999,0,-999
202301230050,548,127.63955688,37.26882935,2,20170,-999,0,-999
202301230051,548,127.63955688,37.26882935,2,20170,-999,0,-999
202301230052,548,127.63955688,37.26882935,2,18871,-999,0,-999
202301230053,548,127.63955688,37.26882935,2,18779,-999,0,-999
