1,20230717181204.881751,AAA,0.0,1.84,24.06,88.23,998.99,142,0,4.00,0.00,0,
2,20230717181304.995593,AAA,0.0,2.83,24.06,88.56,999.09,142,0,4.00,0.00,0,
3,20230717181405.108324,AAA,0.0,1.17,24.06,88.79,999.11,142,0,3.00,0.00,0,
4,20230717181505.181340,AAA,184.7,3.46,24.14,89.23,999.04,142,0,3.00,0.00,0,
5,20230717181605.301553,AAA,0.0,2.25,24.04,89.43,999.11,142,0,3.00,0.00,0,
6,20230717181705.419829,AAA,0.0,2.62,24.06,89.68,999.07,142,0,3.00,0.00,0,
7,20230717181805.520438,AAA,0.0,1.15,24.14,89.80,999.11,142,0,3.00,0.00,0,
8,20230717181905.608353,AAA,0.0,1.70,24.16,89.86,999.10,142,0,4.00,0.00,0,
9,20230717182005.714325,AAA,0.0,0.97,24.16,89.87,999.05,142,0,3.00,0.00,0,
10,20230717182105.818293,AAA,0.0,1.69,24.18,89.87,999.04,142,0,4.00,0.00,0,
11,20230717182205.922745,AAA,282.8,4.37,24.20,89.69,999.04,142,0,3.00,0.00,0,
12,20230717182306.040324,AAA,0.0,1.50,24.26,88.97,999.07,142,0,3.00,0.00,0,
13,20230717182406.159568,AAA,0.0,2.57,24.28,87.44,999.18,124,0,4.00,0.00,0,
14,20230717182506.234812,AAA,0.0,0.35,24.22,86.17,999.08,124,0,4.00,0.00,0,
15,20230717182606.926448,AAA,0.0,1.36,24.32,84.29,999.09,133,0,3.00,0.00,0,
16,20230717182707.018923,AAA,0.0,2.16,24.20,85.38,999.05,71,0,4.00,0.00,0,
17,20230717182807.151979,AAA,0.0,2.19,24.12,86.16,999.09,133,0,4.00,0.00,0,
18,20230717182907.213552,AAA,0.0,1.95,24.14,86.65,999.09,98,0,3.00,0.00,0,
19,20230717183007.288289,AAA,0.0,1.11,24.14,87.28,999.09,124,0,3.00,0.00,0,
20,20230717183107.364489,AAA,0.0,0.86,24.14,87.68,999.08,116,0,3.00,0.00,0,
21,20230717183207.468285,AAA,183.4,4.29,24.14,88.02,999.06,142,0,3.00,0.00,0,
22,20230717183307.550488,AAA,0.0,2.63,24.12,88.24,999.02,98,0,3.00,0.00,0,
23,20230717183407.805877,AAA,0.0,1.89,24.18,88.53,999.01,98,0,3.00,0.00,0,
24,20230717183507.887433,AAA,0.0,1.90,24.22,88.62,999.07,98,0,3.00,0.00,0,
25,20230717183607.992635,AAA,0.0,1.93,24.12,88.82,999.13,142,0,3.00,0.00,0,
26,20230717183708.097437,AAA,0.0,0.95,24.24,88.66,999.14,142,0,3.00,0.00,0,
27,20230717183808.167719,AAA,0.0,0.97,24.26,88.98,999.16,142,0,4.00,0.00,0,
28,20230717183908.288891,AAA,0.0,1.41,24.24,89.04,999.19,142,0,4.00,0.00,0,
29,20230717184008.411358,AAA,0.0,1.71,24.34,89.08,999.23,142,0,3.00,0.00,0,
30,20230717184108.533275,AAA,0.0,2.12,24.32,89.10,999.20,71,0,3.00,0.00,0,
31,20230717184208.645678,AAA,0.0,0.90,24.36,88.83,999.22,44,0,3.00,0.00,0,
32,20230717184308.751064,AAA,0.0,0.89,24.38,88.43,999.27,142,0,3.00,0.00,0,
33,20230717184335.432457,AAA,0.0,2.50,24.44,88.24,999.26,142,0,3.00,0.00,0,
34,20230717184502.252749,AAA,163.5,3.81,24.40,87.40,999.27,142,0,3.00,0.00,0,
35,20230717184602.367271,AAA,0.0,0.88,24.40,86.17,999.30,142,0,3.00,0.00,0,
36,20230717184651.547599,AAA,0.0,1.15,24.38,85.41,999.25,142,0,3.00,0.00,0,
37,20230717184751.743336,AAA,0.0,1.14,24.26,84.85,999.26,142,0,3.00,0.00,0,
38,20230717184851.841492,AAA,0.0,0.87,24.30,84.42,999.23,142,0,3.00,0.00,0,
39,20230717184951.963414,AAA,0.0,1.54,24.26,85.58,999.24,142,0,3.00,0.00,0,
40,20230717185052.136048,AAA,0.0,1.08,24.28,86.55,999.24,142,0,2.00,0.00,0,
41,20230717185152.213120,AAA,0.0,1.63,24.22,86.90,999.28,142,0,2.00,0.00,0,
