time,stn,lon,lat,s,v1,v10,weather,weather_15
202302221200,548,127.63955688,37.26882935,2,31990,-999,0,-999
202302221201,548,127.63955688,37.26882935,2,31187,-999,0,-999
202302221202,548,127.63955688,37.26882935,2,31130,-999,0,-999
202302221203,548,127.63955688,37.26882935,2,32324,-999,0,-999
202302221204,548,127.63955688,37.26882935,2,32410,-999,0,-999
202302221205,548,127.63955688,37.26882935,2,32410,-999,0,-999
202302221206,548,127.63955688,37.26882935,2,32465,-999,0,-999
202302221207,548,127.63955688,37.26882935,2,32469,-999,0,-999
202302221208,548,127.63955688,37.26882935,2,34159,-999,0,-999
202302221209,548,127.63955688,37.26882935,2,34280,-999,0,-999
202302221210,548,127.63955688,37.26882935,2,34540,-999,0,-999
202302221211,548,127.63955688,37.26882935,2,34559,-999,0,-999
202302221212,548,127.63955688,37.26882935,2,27605,-999,0,-999
202302221213,548,127.63955688,37.26882935,2,27109,-999,0,-999
202302221214,548,127.63955688,37.26882935,2,27109,-999,0,-999
202302221215,548,127.63955688,37.26882935,2,34324,-999,0,-999
202302221216,548,127.63955688,37.26882935,2,34840,-999,0,-999
202302221217,548,127.63955688,37.26882935,2,35502,-999,0,-999
202302221218,548,127.63955688,37.26882935,2,35550,-999,0,-999
202302221219,548,127.63955688,37.26882935,2,34153,-999,0,-999
202302221220,548,127.63955688,37.26882935,2,35797,-999,0,-999
202302221221,548,127.63955688,37.26882935,2,31766,-999,0,-999
202302221222,548,127.63955688,37.26882935,2,31470,-999,0,-999
202302221223,548,127.63955688,37.26882935,2,31470,-999,0,-999
202302221224,548,127.63955688,37.26882935,2,35279,-999,0,-999
202302221225,548,127.63955688,37.26882935,2,35480,-999,0,-999
202302221226,548,127.63955688,37.26882935,2,22282,-999,0,-999
202302221227,548,127.63955688,37.26882935,2,21340,-999,0,-999
202302221228,548,127.63955688,37.26882935,2,34136,-999,0,-999
202302221229,548,127.63955688,37.26882935,2,35050,-999,0,-999
202302221230,548,127.63955688,37.26882935,2,35050,-999,0,-999
202302221231,548,127.63955688,37.26882935,2,34788,-999,0,-999
202302221232,548,127.63955688,37.26882935,2,34770,-999,0,-999
202302221233,548,127.63955688,37.26882935,2,33332,-999,0,-999
202302221234,548,127.63955688,37.26882935,2,33230,-999,0,-999
202302221235,548,127.63955688,37.26882935,2,36077,-999,0,-999
202302221236,548,127.63955688,37.26882935,2,36230,-999,0,-999
202302221237,548,127.63955688,37.26882935,2,25020,-999,0,-999
202302221238,548,127.63955688,37.26882935,2,24220,-999,0,-999
202302221239,548,127.63955688,37.26882935,2,24220,-999,0,-999
202302221240,548,127.63955688,37.26882935,2,33397,-999,0,-999
202302221241,548,127.63955688,37.26882935,2,33880,-999,0,-999
202302221242,548,127.63955688,37.26882935,2,34580,-999,0,-999
202302221243,548,127.63955688,37.26882935,2,34630,-999,0,-999
202302221244,548,127.63955688,37.26882935,2,34826,-999,0,-999
202302221245,548,127.63955688,37.26882935,2,34840,-999,0,-999
202302221246,548,127.63955688,37.26882935,2,34905,-999,0,-999
202302221247,548,127.63955688,37.26882935,2,34910,-999,0,-999
202302221248,548,127.63955688,37.26882935,2,34910,-999,0,-999
202302221249,548,127.63955688,37.26882935,2,36720,-999,0,-999
202302221250,548,127.63955688,37.26882935,2,36850,-999,0,-999
202302221251,548,127.63955688,37.26882935,2,34286,-999,0,-999
202302221252,548,127.63955688,37.26882935,2,34149,-999,0,-999
202302221253,548,127.63955688,37.26882935,2,34924,-999,0,-999
202302221254,548,127.63955688,37.26882935,2,34980,-999,0,-999
202302221255,548,127.63955688,37.26882935,2,34980,-999,0,-999
202302221256,548,127.63955688,37.26882935,2,35948,-999,0,-999
202302221257,548,127.63955688,37.26882935,2,36000,-999,0,-999
202302221258,548,127.63955688,37.26882935,2,34917,-999,0,-999
202302221259,548,127.63955688,37.26882935,2,34840,-999,0,-999
202302221300,548,127.63955688,37.26882935,2,33738,-999,0,-999
202302221301,548,127.63955688,37.26882935,2,33680,-999,0,-999
202302221302,548,127.63955688,37.26882935,2,32961,-999,0,-999
202302221303,548,127.63955688,37.26882935,2,32910,-999,0,-999
202302221304,548,127.63955688,37.26882935,2,32910,-999,0,-999
202302221305,548,127.63955688,37.26882935,2,36501,-999,0,-999
202302221306,548,127.63955688,37.26882935,2,36690,-999,0,-999
202302221307,548,127.63955688,37.26882935,2,37999,-999,0,-999
202302221308,548,127.63955688,37.26882935,2,38070,-999,0,-999
202302221309,548,127.63955688,37.26882935,2,37145,-999,0,-999
202302221310,548,127.63955688,37.26882935,2,37079,-999,0,-999
202302221311,548,127.63955688,37.26882935,2,31160,-999,0,-999
202302221312,548,127.63955688,37.26882935,2,30849,-999,0,-999
202302221313,548,127.63955688,37.26882935,2,30849,-999,0,-999
202302221314,548,127.63955688,37.26882935,2,37737,-999,0,-999
202302221315,548,127.63955688,37.26882935,2,38230,-999,0,-999
202302221316,548,127.63955688,37.26882935,2,38230,-999,0,-999
202302221317,548,127.63955688,37.26882935,2,38230,-999,0,-999
202302221318,548,127.63955688,37.26882935,2,38230,-999,0,-999
202302221319,548,127.63955688,37.26882935,2,38230,-999,0,-999
202302221320,548,127.63955688,37.26882935,2,38230,-999,0,-999
202302221321,548,127.63955688,37.26882935,2,36615,-999,0,-999
202302221322,548,127.63955688,37.26882935,2,36530,-999,0,-999
202302221323,548,127.63955688,37.26882935,2,41122,-999,0,-999
202302221324,548,127.63955688,37.26882935,2,41450,-999,0,-999
202302221325,548,127.63955688,37.26882935,2,38770,-999,0,-999
202302221326,548,127.63955688,37.26882935,2,38579,-999,0,-999
202302221327,548,127.63955688,37.26882935,2,38988,-999,0,-999
202302221328,548,127.63955688,37.26882935,2,39010,-999,0,-999
202302221329,548,127.63955688,37.26882935,2,39010,-999,0,-999
202302221330,548,127.63955688,37.26882935,2,40120,-999,0,-999
202302221331,548,127.63955688,37.26882935,2,40200,-999,0,-999
202302221332,548,127.63955688,37.26882935,2,43796,-999,0,-999
202302221333,548,127.63955688,37.26882935,2,43989,-999,0,-999
202302221334,548,127.63955688,37.26882935,2,40536,-999,0,-999
202302221335,548,127.63955688,37.26882935,2,40467,-999,0,-999
202302221336,548,127.63955688,37.26882935,2,40384,-999,0,-999
202302221341,548,127.63955688,37.26882935,2,41486,-999,0,-999
202302221342,548,127.63955688,37.26882935,2,41250,-999,0,-999
202302221343,548,127.63955688,37.26882935,2,45172,-999,0,-999
202302221344,548,127.63955688,37.26882935,2,45379,-999,0,-999
202302221345,548,127.63955688,37.26882935,2,45379,-999,0,-999
202302221346,548,127.63955688,37.26882935,2,40810,-999,0,-999
202302221347,548,127.63955688,37.26882935,2,40570,-999,0,-999
202302221348,548,127.63955688,37.26882935,2,39952,-999,0,-999
202302221349,548,127.63955688,37.26882935,2,39920,-999,0,-999
202302221350,548,127.63955688,37.26882935,2,41753,-999,0,-999
202302221351,548,127.63955688,37.26882935,2,41850,-999,0,-999
