time,stn,lon,lat,s,v1,v10,weather,weather_15
202301181200,548,127.63955688,37.26882935,2,12800,-999,0,-999
202301181201,548,127.63955688,37.26882935,2,12740,-999,0,-999
202301181202,548,127.63955688,37.26882935,2,12740,-999,0,-999
202301181203,548,127.63955688,37.26882935,2,12740,-999,0,-999
202301181204,548,127.63955688,37.26882935,2,12703,-999,0,-999
202301181205,548,127.63955688,37.26882935,2,12700,-999,0,-999
202301181206,548,127.63955688,37.26882935,2,12700,-999,0,-999
202301181207,548,127.63955688,37.26882935,2,12987,-999,0,-999
202301181208,548,127.63955688,37.26882935,2,13019,-999,0,-999
202301181209,548,127.63955688,37.26882935,2,12570,-999,0,-999
202301181210,548,127.63955688,37.26882935,2,12530,-999,0,-999
202301181211,548,127.63955688,37.26882935,2,13150,-999,0,-999
202301181212,548,127.63955688,37.26882935,2,13219,-999,0,-999
202301181213,548,127.63955688,37.26882935,2,14308,-999,0,-999
202301181214,548,127.63955688,37.26882935,2,14429,-999,0,-999
202301181215,548,127.63955688,37.26882935,2,14429,-999,0,-999
202301181216,548,127.63955688,37.26882935,2,13826,-999,0,-999
202301181217,548,127.63955688,37.26882935,2,13759,-999,0,-999
202301181218,548,127.63955688,37.26882935,2,14461,-999,0,-999
202301181219,548,127.63955688,37.26882935,2,14540,-999,0,-999
202301181220,548,127.63955688,37.26882935,2,14198,-999,0,-999
202301181221,548,127.63955688,37.26882935,2,14160,-999,0,-999
202301181222,548,127.63955688,37.26882935,2,18525,-999,0,-999
202301181223,548,127.63955688,37.26882935,2,19010,-999,0,-999
202301181224,548,127.63955688,37.26882935,2,19010,-999,0,-999
202301181225,548,127.63955688,37.26882935,2,21792,-999,0,-999
202301181226,548,127.63955688,37.26882935,2,22050,-999,0,-999
202301181227,548,127.63955688,37.26882935,2,23121,-999,0,-999
202301181228,548,127.63955688,37.26882935,2,23240,-999,0,-999
202301181229,548,127.63955688,37.26882935,2,22502,-999,0,-999
202301181230,548,127.63955688,37.26882935,2,22420,-999,0,-999
202301181231,548,127.63955688,37.26882935,2,22420,-999,0,-999
202301181232,548,127.63955688,37.26882935,2,26956,-999,0,-999
202301181233,548,127.63955688,37.26882935,2,27460,-999,0,-999
202301181234,548,127.63955688,37.26882935,2,28360,-999,0,-999
202301181235,548,127.63955688,37.26882935,2,28460,-999,0,-999
202301181236,548,127.63955688,37.26882935,2,32465,-999,0,-999
202301181237,548,127.63955688,37.26882935,2,32910,-999,0,-999
202301181238,548,127.63955688,37.26882935,2,29417,-999,0,-999
202301181239,548,127.63955688,37.26882935,2,29029,-999,0,-999
202301181240,548,127.63955688,37.26882935,2,29029,-999,0,-999
202301181241,548,127.63955688,37.26882935,2,29164,-999,0,-999
202301181242,548,127.63955688,37.26882935,2,29179,-999,0,-999
202301181243,548,127.63955688,37.26882935,2,30385,-999,0,-999
202301181244,548,127.63955688,37.26882935,2,30519,-999,0,-999
202301181245,548,127.63955688,37.26882935,2,32112,-999,0,-999
202301181246,548,127.63955688,37.26882935,2,32290,-999,0,-999
202301181247,548,127.63955688,37.26882935,2,32451,-999,0,-999
202301181248,548,127.63955688,37.26882935,2,32469,-999,0,-999
202301181249,548,127.63955688,37.26882935,2,32469,-999,0,-999
202301181250,548,127.63955688,37.26882935,2,27573,-999,0,-999
202301181251,548,127.63955688,37.26882935,2,27029,-999,0,-999
202301181252,548,127.63955688,37.26882935,2,26255,-999,0,-999
202301181253,548,127.63955688,37.26882935,2,26530,-999,0,-999
202301181254,548,127.63955688,37.26882935,2,25408,-999,0,-999
202301181255,548,127.63955688,37.26882935,2,25279,-999,0,-999
202301181256,548,127.63955688,37.26882935,2,25279,-999,0,-999
202301181257,548,127.63955688,37.26882935,2,25621,-999,0,-999
202301181258,548,127.63955688,37.26882935,2,25660,-999,0,-999
202301181259,548,127.63955688,37.26882935,2,25453,-999,0,-999
202301181300,548,127.63955688,37.26882935,2,25430,-999,0,-999
202301181301,548,127.63955688,37.26882935,2,25998,-999,0,-999
202301181302,548,127.63955688,37.26882935,2,26050,-999,0,-999
202301181303,548,127.63955688,37.26882935,2,25069,-999,0,-999
202301181304,548,127.63955688,37.26882935,2,24960,-999,0,-999
202301181305,548,127.63955688,37.26882935,2,24960,-999,0,-999
202301181306,548,127.63955688,37.26882935,2,25023,-999,0,-999
202301181307,548,127.63955688,37.26882935,2,25029,-999,0,-999
202301181308,548,127.63955688,37.26882935,2,24705,-999,0,-999
202301181309,548,127.63955688,37.26882935,2,24670,-999,0,-999
202301181310,548,127.63955688,37.26882935,2,23724,-999,0,-999
202301181311,548,127.63955688,37.26882935,2,23619,-999,0,-999
202301181312,548,127.63955688,37.26882935,2,24105,-999,0,-999
202301181313,548,127.63955688,37.26882935,2,24150,-999,0,-999
202301181314,548,127.63955688,37.26882935,2,24150,-999,0,-999
202301181315,548,127.63955688,37.26882935,2,24941,-999,0,-999
202301181316,548,127.63955688,37.26882935,2,25029,-999,0,-999
202301181317,548,127.63955688,37.26882935,2,22746,-999,0,-999
202301181318,548,127.63955688,37.26882935,2,22539,-999,0,-999
202301181319,548,127.63955688,37.26882935,2,22278,-999,0,-999
202301181320,548,127.63955688,37.26882935,2,22250,-999,0,-999
202301181321,548,127.63955688,37.26882935,2,22250,-999,0,-999
202301181322,548,127.63955688,37.26882935,2,24027,-999,0,-999
202301181323,548,127.63955688,37.26882935,2,24189,-999,0,-999
202301181324,548,127.63955688,37.26882935,2,22974,-999,0,-999
202301181325,548,127.63955688,37.26882935,2,22840,-999,0,-999
202301181326,548,127.63955688,37.26882935,2,23226,-999,0,-999
202301181327,548,127.63955688,37.26882935,2,23269,-999,0,-999
202301181328,548,127.63955688,37.26882935,2,22573,-999,0,-999
202301181329,548,127.63955688,37.26882935,2,22510,-999,0,-999
202301181330,548,127.63955688,37.26882935,2,22510,-999,0,-999
202301181331,548,127.63955688,37.26882935,2,21924,-999,0,-999
202301181332,548,127.63955688,37.26882935,2,21859,-999,0,-999
