time,stn,lon,lat,s,v1,v10,weather,weather_15
202301170000,548,127.63955688,37.26882935,2,21480,-999,0,-999
202301170001,548,127.63955688,37.26882935,2,20675,-999,0,-999
202301170002,548,127.63955688,37.26882935,2,20600,-999,0,-999
202301170003,548,127.63955688,37.26882935,2,19555,-999,0,-999
202301170004,548,127.63955688,37.26882935,2,19439,-999,0,-999
202301170005,548,127.63955688,37.26882935,2,20044,-999,0,-999
202301170006,548,127.63955688,37.26882935,2,20100,-999,0,-999
202301170007,548,127.63955688,37.26882935,2,17226,-999,0,-999
202301170008,548,127.63955688,37.26882935,2,16960,-999,0,-999
202301170009,548,127.63955688,37.26882935,2,16960,-999,0,-999
202301170010,548,127.63955688,37.26882935,2,15044,-999,0,-999
202301170011,548,127.63955688,37.26882935,2,15392,-999,0,-999
202301170012,548,127.63955688,37.26882935,2,14222,-999,0,-999
202301170013,548,127.63955688,37.26882935,2,14110,-999,0,-999
202301170014,548,127.63955688,37.26882935,2,12058,-999,0,-999
202301170015,548,127.63955688,37.26882935,2,11830,-999,0,-999
202301170016,548,127.63955688,37.26882935,2,11830,-999,0,-999
202301170017,548,127.63955688,37.26882935,2,12793,-999,0,-999
202301170018,548,127.63955688,37.26882935,2,12900,-999,0,-999
202301170019,548,127.63955688,37.26882935,2,13593,-999,0,-999
202301170020,548,127.63955688,37.26882935,2,13670,-999,0,-999
202301170021,548,127.63955688,37.26882935,2,16681,-999,0,-999
202301170022,548,127.63955688,37.26882935,2,16960,-999,0,-999
202301170023,548,127.63955688,37.26882935,2,17356,-999,0,-999
202301170024,548,127.63955688,37.26882935,2,17400,-999,0,-999
202301170025,548,127.63955688,37.26882935,2,17527,-999,0,-999
202301170026,548,127.63955688,37.26882935,2,17191,-999,0,-999
202301170027,548,127.63955688,37.26882935,2,17160,-999,0,-999
202301170028,548,127.63955688,37.26882935,2,15513,-999,0,-999
202301170029,548,127.63955688,37.26882935,2,15330,-999,0,-999
202301170030,548,127.63955688,37.26882935,2,14105,-999,0,-999
202301170031,548,127.63955688,37.26882935,2,13969,-999,0,-999
202301170032,548,127.63955688,37.26882935,2,11690,-999,0,-999
202301170033,548,127.63955688,37.26882935,2,11480,-999,0,-999
202301170034,548,127.63955688,37.26882935,2,11480,-999,0,-999
202301170035,548,127.63955688,37.26882935,2,10643,-999,0,-999
202301170036,548,127.63955688,37.26882935,2,10550,-999,0,-999
202301170037,548,127.63955688,37.26882935,2,9508,-999,4,-999
202301170038,548,127.63955688,37.26882935,2,9410,-999,4,-999
202301170039,548,127.63955688,37.26882935,2,7916,-999,4,-999
202301170040,548,127.63955688,37.26882935,2,7750,-999,4,-999
202301170041,548,127.63955688,37.26882935,2,7750,-999,4,-999
202301170042,548,127.63955688,37.26882935,2,8180,-999,4,-999
202301170043,548,127.63955688,37.26882935,2,8220,-999,4,-999
202301170044,548,127.63955688,37.26882935,2,7445,-999,4,-999
202301170045,548,127.63955688,37.26882935,2,7359,-999,4,-999
202301170046,548,127.63955688,37.26882935,2,7377,-999,4,-999
202301170047,548,127.63955688,37.26882935,2,7379,-999,4,-999
202301170048,548,127.63955688,37.26882935,2,7544,-999,4,-999
202301170049,548,127.63955688,37.26882935,2,7560,-999,4,-999
202301170050,548,127.63955688,37.26882935,2,7560,-999,4,-999
202301170051,548,127.63955688,37.26882935,2,7578,-999,4,-999
202301170052,548,127.63955688,37.26882935,2,7580,-999,4,-999
202301170053,548,127.63955688,37.26882935,2,7049,-999,4,-999
202301170054,548,127.63955688,37.26882935,2,7000,-999,4,-999
202301170055,548,127.63955688,37.26882935,2,7233,-999,4,-999
202301170056,548,127.63955688,37.26882935,2,7259,-999,4,-999
202301170057,548,127.63955688,37.26882935,2,6957,-999,4,-999
202301170058,548,127.63955688,37.26882935,2,6930,-999,4,-999
202301170059,548,127.63955688,37.26882935,2,6930,-999,4,-999
202301170100,548,127.63955688,37.26882935,2,7047,-999,4,-999
202301170101,548,127.63955688,37.26882935,2,7060,-999,4,-999
202301170102,548,127.63955688,37.26882935,2,6546,-999,4,-999
202301170103,548,127.63955688,37.26882935,2,6500,-999,4,-999
202301170104,548,127.63955688,37.26882935,2,6536,-999,4,-999
202301170105,548,127.63955688,37.26882935,2,6540,-999,4,-999
202301170106,548,127.63955688,37.26882935,2,6540,-999,4,-999
202301170107,548,127.63955688,37.26882935,2,6511,-999,4,-999
202301170108,548,127.63955688,37.26882935,2,6509,-999,4,-999
202301170109,548,127.63955688,37.26882935,2,6390,-999,4,-999
202301170110,548,127.63955688,37.26882935,2,6379,-999,4,-999
202301170111,548,127.63955688,37.26882935,2,5758,-999,4,-999
202301170112,548,127.63955688,37.26882935,2,5690,-999,4,-999
202301170113,548,127.63955688,37.26882935,2,6129,-999,4,-999
202301170114,548,127.63955688,37.26882935,2,6170,-999,4,-999
202301170115,548,127.63955688,37.26882935,2,6170,-999,4,-999
202301170116,548,127.63955688,37.26882935,2,5890,-999,4,-999
202301170117,548,127.63955688,37.26882935,2,5859,-999,4,-999
202301170118,548,127.63955688,37.26882935,2,5996,-999,4,-999
202301170119,548,127.63955688,37.26882935,2,6009,-999,4,-999
202301170120,548,127.63955688,37.26882935,2,5991,-999,4,-999
202301170121,548,127.63955688,37.26882935,2,5990,-999,4,-999
202301170122,548,127.63955688,37.26882935,2,6188,-999,4,-999
202301170123,548,127.63955688,37.26882935,2,6210,-999,4,-999
202301170124,548,127.63955688,37.26882935,2,6210,-999,4,-999
202301170125,548,127.63955688,37.26882935,2,6336,-999,4,-999
202301170126,548,127.63955688,37.26882935,2,6350,-999,4,-999
202301170127,548,127.63955688,37.26882935,2,6206,-999,4,-999
202301170128,548,127.63955688,37.26882935,2,6190,-999,4,-999
202301170129,548,127.63955688,37.26882935,2,6400,-999,4,-999
202301170130,548,127.63955688,37.26882935,2,6420,-999,4,-999
202301170131,548,127.63955688,37.26882935,2,6420,-999,4,-999
202301170132,548,127.63955688,37.26882935,2,6582,-999,4,-999
202301170133,548,127.63955688,37.26882935,2,6600,-999,4,-999
202301170134,548,127.63955688,37.26882935,2,6490,-999,4,-999
202301170135,548,127.63955688,37.26882935,2,6480,-999,4,-999
202301170136,548,127.63955688,37.26882935,2,6660,-999,4,-999
202301170137,548,127.63955688,37.26882935,2,6680,-999,4,-999
202301170138,548,127.63955688,37.26882935,2,6941,-999,4,-999
202301170139,548,127.63955688,37.26882935,2,6970,-999,4,-999
202301170140,548,127.63955688,37.26882935,2,6970,-999,4,-999
202301170141,548,127.63955688,37.26882935,2,6754,-999,4,-999
202301170142,548,127.63955688,37.26882935,2,6730,-999,4,-999
202301170143,548,127.63955688,37.26882935,2,6712,-999,4,-999
202301170144,548,127.63955688,37.26882935,2,6710,-999,4,-999
202301170145,548,127.63955688,37.26882935,2,6517,-999,4,-999
202301170146,548,127.63955688,37.26882935,2,6500,-999,4,-999
202301170147,548,127.63955688,37.26882935,2,6355,-999,4,-999
202301170148,548,127.63955688,37.26882935,2,6339,-999,4,-999
202301170149,548,127.63955688,37.26882935,2,6339,-999,4,-999
202301170150,548,127.63955688,37.26882935,2,6696,-999,4,-999
202301170151,548,127.63955688,37.26882935,2,6730,-999,4,-999
202301170152,548,127.63955688,37.26882935,2,6766,-999,4,-999
202301170153,548,127.63955688,37.26882935,2,6985,-999,4,-999
202301170154,548,127.63955688,37.26882935,2,7092,-999,4,-999
202301170155,548,127.63955688,37.26882935,2,7100,-999,4,-999
202301170156,548,127.63955688,37.26882935,2,7100,-999,4,-999
202301170157,548,127.63955688,37.26882935,2,7261,-999,4,-999
202301170158,548,127.63955688,37.26882935,2,7279,-999,4,-999
202301170159,548,127.63955688,37.26882935,2,7414,-999,4,-999
202301170200,548,127.63955688,37.26882935,2,7430,-999,4,-999
202301170201,548,127.63955688,37.26882935,2,7622,-999,4,-999
202301170202,548,127.63955688,37.26882935,2,7685,-999,4,-999
202301170203,548,127.63955688,37.26882935,2,7446,-999,4,-999
202301170204,548,127.63955688,37.26882935,2,7419,-999,4,-999
202301170205,548,127.63955688,37.26882935,2,7419,-999,4,-999
202301170206,548,127.63955688,37.26882935,2,8207,-999,4,-999
202301170207,548,127.63955688,37.26882935,2,8280,-999,4,-999
202301170208,548,127.63955688,37.26882935,2,8090,-999,4,-999
202301170209,548,127.63955688,37.26882935,2,8069,-999,4,-999
202301170210,548,127.63955688,37.26882935,2,8271,-999,4,-999
202301170211,548,127.63955688,37.26882935,2,8290,-999,4,-999
202301170212,548,127.63955688,37.26882935,2,8479,-999,4,-999
202301170213,548,127.63955688,37.26882935,2,8500,-999,4,-999
202301170214,548,127.63955688,37.26882935,2,8500,-999,4,-999
202301170215,548,127.63955688,37.26882935,2,8738,-999,4,-999
202301170216,548,127.63955688,37.26882935,2,8760,-999,4,-999
202301170217,548,127.63955688,37.26882935,2,8219,-999,4,-999
202301170218,548,127.63955688,37.26882935,2,8179,-999,4,-999
202301170219,548,127.63955688,37.26882935,2,8287,-999,4,-999
202301170220,548,127.63955688,37.26882935,2,8300,-999,4,-999
202301170221,548,127.63955688,37.26882935,2,8300,-999,4,-999
202301170222,548,127.63955688,37.26882935,2,8327,-999,4,-999
202301170223,548,127.63955688,37.26882935,2,8330,-999,4,-999
202301170224,548,127.63955688,37.26882935,2,8375,-999,4,-999
202301170225,548,127.63955688,37.26882935,2,8380,-999,4,-999
202301170226,548,127.63955688,37.26882935,2,8453,-999,4,-999
202301170227,548,127.63955688,37.26882935,2,8460,-999,4,-999
202301170228,548,127.63955688,37.26882935,2,7883,-999,4,-999
202301170229,548,127.63955688,37.26882935,2,7819,-999,4,-999
202301170230,548,127.63955688,37.26882935,2,7819,-999,4,-999
202301170231,548,127.63955688,37.26882935,2,8168,-999,4,-999
202301170232,548,127.63955688,37.26882935,2,8200,-999,4,-999
202301170233,548,127.63955688,37.26882935,2,7906,-999,4,-999
202301170234,548,127.63955688,37.26882935,2,7879,-999,4,-999
202301170235,548,127.63955688,37.26882935,2,8248,-999,4,-999
202301170236,548,127.63955688,37.26882935,2,8290,-999,4,-999
202301170237,548,127.63955688,37.26882935,2,7931,-999,4,-999
202301170238,548,127.63955688,37.26882935,2,7899,-999,4,-999
202301170239,548,127.63955688,37.26882935,2,7899,-999,4,-999
202301170240,548,127.63955688,37.26882935,2,8160,-999,4,-999
202301170241,548,127.63955688,37.26882935,2,8189,-999,4,-999
202301170242,548,127.63955688,37.26882935,2,8281,-999,4,-999
202301170243,548,127.63955688,37.26882935,2,8290,-999,4,-999
202301170244,548,127.63955688,37.26882935,2,7273,-999,4,-999
202301170245,548,127.63955688,37.26882935,2,7160,-999,4,-999
202301170246,548,127.63955688,37.26882935,2,7160,-999,4,-999
202301170247,548,127.63955688,37.26882935,2,7242,-999,4,-999
202301170248,548,127.63955688,37.26882935,2,7250,-999,4,-999
202301170249,548,127.63955688,37.26882935,2,7029,-999,4,-999
202301170250,548,127.63955688,37.26882935,2,7009,-999,4,-999
202301170251,548,127.63955688,37.26882935,2,7180,-999,4,-999
202301170252,548,127.63955688,37.26882935,2,7200,-999,4,-999
202301170253,548,127.63955688,37.26882935,2,7300,-999,4,-999
202301170254,548,127.63955688,37.26882935,2,7310,-999,4,-999
202301170255,548,127.63955688,37.26882935,2,7310,-999,4,-999
202301170256,548,127.63955688,37.26882935,2,7804,-999,4,-999
202301170257,548,127.63955688,37.26882935,2,7859,-999,4,-999
202301170258,548,127.63955688,37.26882935,2,8024,-999,4,-999
202301170259,548,127.63955688,37.26882935,2,8040,-999,4,-999
202301170300,548,127.63955688,37.26882935,2,8121,-999,4,-999
202301170301,548,127.63955688,37.26882935,2,8130,-999,4,-999
202301170302,548,127.63955688,37.26882935,2,7470,-999,4,-999
202301170303,548,127.63955688,37.26882935,2,7410,-999,4,-999
202301170304,548,127.63955688,37.26882935,2,7410,-999,4,-999
202301170305,548,127.63955688,37.26882935,2,7581,-999,4,-999
202301170306,548,127.63955688,37.26882935,2,7600,-999,4,-999
202301170307,548,127.63955688,37.26882935,2,8238,-999,4,-999
202301170308,548,127.63955688,37.26882935,2,8309,-999,4,-999
202301170309,548,127.63955688,37.26882935,2,8255,-999,4,-999
202301170310,548,127.63955688,37.26882935,2,8250,-999,4,-999
202301170311,548,127.63955688,37.26882935,2,8250,-999,4,-999
202301170312,548,127.63955688,37.26882935,2,8016,-999,4,-999
202301170313,548,127.63955688,37.26882935,2,7990,-999,4,-999
202301170314,548,127.63955688,37.26882935,2,8337,-999,4,-999
202301170315,548,127.63955688,37.26882935,2,8370,-999,4,-999
202301170316,548,127.63955688,37.26882935,2,8415,-999,4,-999
202301170317,548,127.63955688,37.26882935,2,8420,-999,4,-999
202301170318,548,127.63955688,37.26882935,2,8208,-999,4,-999
202301170319,548,127.63955688,37.26882935,2,8189,-999,4,-999
202301170320,548,127.63955688,37.26882935,2,8189,-999,4,-999
202301170321,548,127.63955688,37.26882935,2,8009,-999,4,-999
202301170322,548,127.63955688,37.26882935,2,7990,-999,4,-999
202301170323,548,127.63955688,37.26882935,2,8439,-999,4,-999
202301170324,548,127.63955688,37.26882935,2,8480,-999,4,-999
202301170325,548,127.63955688,37.26882935,2,8515,-999,4,-999
202301170326,548,127.63955688,37.26882935,2,8519,-999,4,-999
202301170327,548,127.63955688,37.26882935,2,8213,-999,4,-999
202301170328,548,127.63955688,37.26882935,2,8179,-999,4,-999
202301170329,548,127.63955688,37.26882935,2,8179,-999,4,-999
202301170330,548,127.63955688,37.26882935,2,8334,-999,4,-999
202301170331,548,127.63955688,37.26882935,2,8349,-999,4,-999
202301170332,548,127.63955688,37.26882935,2,8349,-999,4,-999
202301170333,548,127.63955688,37.26882935,2,8349,-999,4,-999
202301170334,548,127.63955688,37.26882935,2,8432,-999,4,-999
202301170335,548,127.63955688,37.26882935,2,8440,-999,4,-999
202301170336,548,127.63955688,37.26882935,2,8440,-999,4,-999
202301170337,548,127.63955688,37.26882935,2,8782,-999,4,-999
202301170338,548,127.63955688,37.26882935,2,8820,-999,4,-999
202301170339,548,127.63955688,37.26882935,2,8719,-999,4,-999
