time,stn,lon,lat,s,v1,v10,weather,weather_15
202302231200,548,127.63955688,37.26882935,2,24994,-999,0,-999
202302231201,548,127.63955688,37.26882935,2,24990,-999,0,-999
202302231202,548,127.63955688,37.26882935,2,25058,-999,0,-999
202302231203,548,127.63955688,37.26882935,2,25060,-999,0,-999
202302231204,548,127.63955688,37.26882935,2,26072,-999,0,-999
202302231205,548,127.63955688,37.26882935,2,26090,-999,0,-999
202302231206,548,127.63955688,37.26882935,2,25264,-999,0,-999
202302231207,548,127.63955688,37.26882935,2,25250,-999,0,-999
202302231208,548,127.63955688,37.26882935,2,25250,-999,0,-999
202302231209,548,127.63955688,37.26882935,2,25653,-999,0,-999
202302231210,548,127.63955688,37.26882935,2,25660,-999,0,-999
202302231211,548,127.63955688,37.26882935,2,25364,-999,0,-999
202302231212,548,127.63955688,37.26882935,2,25359,-999,0,-999
202302231213,548,127.63955688,37.26882935,2,24710,-999,0,-999
202302231214,548,127.63955688,37.26882935,2,24699,-999,0,-999
202302231215,548,127.63955688,37.26882935,2,24699,-999,0,-999
202302231216,548,127.63955688,37.26882935,2,24460,-999,0,-999
202302231217,548,127.63955688,37.26882935,2,24460,-999,0,-999
202302231218,548,127.63955688,37.26882935,2,24873,-999,0,-999
202302231219,548,127.63955688,37.26882935,2,24880,-999,0,-999
202302231220,548,127.63955688,37.26882935,2,25060,-999,0,-999
202302231221,548,127.63955688,37.26882935,2,25060,-999,0,-999
202302231222,548,127.63955688,37.26882935,2,24600,-999,0,-999
202302231223,548,127.63955688,37.26882935,2,24600,-999,0,-999
202302231224,548,127.63955688,37.26882935,2,24600,-999,0,-999
202302231225,548,127.63955688,37.26882935,2,24359,-999,0,-999
202302231226,548,127.63955688,37.26882935,2,24359,-999,0,-999
202302231227,548,127.63955688,37.26882935,2,25210,-999,0,-999
202302231228,548,127.63955688,37.26882935,2,25210,-999,0,-999
202302231229,548,127.63955688,37.26882935,2,24000,-999,0,-999
202302231230,548,127.63955688,37.26882935,2,23980,-999,0,-999
202302231231,548,127.63955688,37.26882935,2,25029,-999,0,-999
202302231232,548,127.63955688,37.26882935,2,25029,-999,0,-999
202302231233,548,127.63955688,37.26882935,2,25029,-999,0,-999
202302231234,548,127.63955688,37.26882935,2,25766,-999,0,-999
202302231235,548,127.63955688,37.26882935,2,25779,-999,0,-999
202302231236,548,127.63955688,37.26882935,2,24529,-999,0,-999
202302231237,548,127.63955688,37.26882935,2,24529,-999,0,-999
202302231238,548,127.63955688,37.26882935,2,24600,-999,0,-999
202302231239,548,127.63955688,37.26882935,2,24600,-999,0,-999
202302231240,548,127.63955688,37.26882935,2,24600,-999,0,-999
202302231241,548,127.63955688,37.26882935,2,24630,-999,0,-999
202302231242,548,127.63955688,37.26882935,2,24630,-999,0,-999
202302231243,548,127.63955688,37.26882935,2,25060,-999,0,-999
202302231244,548,127.63955688,37.26882935,2,25060,-999,0,-999
202302231245,548,127.63955688,37.26882935,2,24960,-999,0,-999
202302231246,548,127.63955688,37.26882935,2,24960,-999,0,-999
202302231247,548,127.63955688,37.26882935,2,25210,-999,0,-999
202302231248,548,127.63955688,37.26882935,2,25210,-999,0,-999
202302231249,548,127.63955688,37.26882935,2,25210,-999,0,-999
202302231250,548,127.63955688,37.26882935,2,24885,-999,0,-999
202302231251,548,127.63955688,37.26882935,2,24880,-999,0,-999
202302231252,548,127.63955688,37.26882935,2,25810,-999,0,-999
202302231253,548,127.63955688,37.26882935,2,25810,-999,0,-999
202302231254,548,127.63955688,37.26882935,2,24620,-999,0,-999
202302231255,548,127.63955688,37.26882935,2,24600,-999,0,-999
202302231256,548,127.63955688,37.26882935,2,24670,-999,0,-999
202302231257,548,127.63955688,37.26882935,2,24670,-999,0,-999
202302231258,548,127.63955688,37.26882935,2,24670,-999,0,-999
202302231259,548,127.63955688,37.26882935,2,25970,-999,0,-999
202302231300,548,127.63955688,37.26882935,2,25970,-999,0,-999
202302231301,548,127.63955688,37.26882935,2,25470,-999,0,-999
202302231302,548,127.63955688,37.26882935,2,25470,-999,0,-999
202302231303,548,127.63955688,37.26882935,2,24779,-999,0,-999
202302231304,548,127.63955688,37.26882935,2,24779,-999,0,-999
202302231305,548,127.63955688,37.26882935,2,24779,-999,0,-999
202302231306,548,127.63955688,37.26882935,2,25470,-999,0,-999
202302231307,548,127.63955688,37.26882935,2,25470,-999,0,-999
202302231308,548,127.63955688,37.26882935,2,25619,-999,0,-999
202302231309,548,127.63955688,37.26882935,2,25619,-999,0,-999
202302231310,548,127.63955688,37.26882935,2,26396,-999,0,-999
202302231311,548,127.63955688,37.26882935,2,26410,-999,0,-999
202302231312,548,127.63955688,37.26882935,2,26250,-999,0,-999
202302231313,548,127.63955688,37.26882935,2,26250,-999,0,-999
