time,stn,lon,lat,s,v1,v10,weather,weather_15
202302171200,548,127.63955688,37.26882935,2,18771,-999,0,-999
202302171201,548,127.63955688,37.26882935,2,18747,-999,0,-999
202302171202,548,127.63955688,37.26882935,2,18660,-999,0,-999
202302171203,548,127.63955688,37.26882935,2,18423,-999,0,-999
202302171204,548,127.63955688,37.26882935,2,18330,-999,0,-999
202302171205,548,127.63955688,37.26882935,2,18330,-999,0,-999
202302171206,548,127.63955688,37.26882935,2,18043,-999,0,-999
202302171207,548,127.63955688,37.26882935,2,17930,-999,0,-999
202302171208,548,127.63955688,37.26882935,2,17979,-999,0,-999
202302171209,548,127.63955688,37.26882935,2,18000,-999,0,-999
202302171210,548,127.63955688,37.26882935,2,17347,-999,0,-999
202302171211,548,127.63955688,37.26882935,2,17090,-999,0,-999
202302171212,548,127.63955688,37.26882935,2,17360,-999,0,-999
202302171213,548,127.63955688,37.26882935,2,17470,-999,0,-999
202302171214,548,127.63955688,37.26882935,2,17448,-999,0,-999
202302171215,548,127.63955688,37.26882935,2,17339,-999,0,-999
202302171216,548,127.63955688,37.26882935,2,17300,-999,0,-999
202302171217,548,127.63955688,37.26882935,2,17862,-999,0,-999
202302171218,548,127.63955688,37.26882935,2,18090,-999,0,-999
202302171219,548,127.63955688,37.26882935,2,17867,-999,0,-999
202302171220,548,127.63955688,37.26882935,2,17779,-999,0,-999
202302171221,548,127.63955688,37.26882935,2,17887,-999,0,-999
202302171222,548,127.63955688,37.26882935,2,17930,-999,0,-999
202302171223,548,127.63955688,37.26882935,2,17930,-999,0,-999
202302171224,548,127.63955688,37.26882935,2,17463,-999,0,-999
202302171225,548,127.63955688,37.26882935,2,17279,-999,0,-999
202302171226,548,127.63955688,37.26882935,2,16985,-999,0,-999
202302171227,548,127.63955688,37.26882935,2,16869,-999,0,-999
202302171228,548,127.63955688,37.26882935,2,16570,-999,0,-999
202302171229,548,127.63955688,37.26882935,2,16449,-999,0,-999
202302171230,548,127.63955688,37.26882935,2,16449,-999,0,-999
202302171231,548,127.63955688,37.26882935,2,16384,-999,0,-999
