time,stn,lon,lat,s,v1,v10,weather,weather_15
202302011200,548,127.63955688,37.26882935,2,30792,-999,0,-999
202302011201,548,127.63955688,37.26882935,2,33030,-999,0,-999
202302011202,548,127.63955688,37.26882935,2,32999,-999,0,-999
202302011203,548,127.63955688,37.26882935,2,32660,-999,0,-999
202302011204,548,127.63955688,37.26882935,2,32660,-999,0,-999
202302011205,548,127.63955688,37.26882935,2,32618,-999,0,-999
202302011206,548,127.63955688,37.26882935,2,32050,-999,0,-999
202302011207,548,127.63955688,37.26882935,2,31856,-999,0,-999
202302011208,548,127.63955688,37.26882935,2,29730,-999,0,-999
202302011209,548,127.63955688,37.26882935,2,29800,-999,0,-999
202302011210,548,127.63955688,37.26882935,2,30570,-999,0,-999
202302011211,548,127.63955688,37.26882935,2,30688,-999,0,-999
202302011212,548,127.63955688,37.26882935,2,32349,-999,0,-999
202302011213,548,127.63955688,37.26882935,2,32309,-999,0,-999
202302011214,548,127.63955688,37.26882935,2,31807,-999,0,-999
202302011215,548,127.63955688,37.26882935,2,31130,-999,0,-999
202302011216,548,127.63955688,37.26882935,2,31125,-999,0,-999
202302011217,548,127.63955688,37.26882935,2,31070,-999,0,-999
202302011218,548,127.63955688,37.26882935,2,31070,-999,0,-999
202302011219,548,127.63955688,37.26882935,2,31070,-999,0,-999
202302011220,548,127.63955688,37.26882935,2,31093,-999,0,-999
202302011221,548,127.63955688,37.26882935,2,31235,-999,0,-999
202302011222,548,127.63955688,37.26882935,2,29679,-999,0,-999
202302011223,548,127.63955688,37.26882935,2,29670,-999,0,-999
202302011224,548,127.63955688,37.26882935,2,29580,-999,0,-999
202302011225,548,127.63955688,37.26882935,2,29417,-999,0,-999
202302011226,548,127.63955688,37.26882935,2,27630,-999,0,-999
202302011227,548,127.63955688,37.26882935,2,27719,-999,0,-999
202302011228,548,127.63955688,37.26882935,2,28689,-999,0,-999
202302011229,548,127.63955688,37.26882935,2,28689,-999,0,-999
202302011230,548,127.63955688,37.26882935,2,28634,-999,0,-999
