time,stn,lon,lat,s,v1,v10,weather,weather_15
202301191200,548,127.63955688,37.26882935,2,17740,-999,0,-999
202301191201,548,127.63955688,37.26882935,2,17272,-999,0,-999
202301191202,548,127.63955688,37.26882935,2,17495,-999,0,-999
202301191203,548,127.63955688,37.26882935,2,17133,-999,0,-999
202301191204,548,127.63955688,37.26882935,2,17090,-999,0,-999
202301191205,548,127.63955688,37.26882935,2,17263,-999,0,-999
202301191206,548,127.63955688,37.26882935,2,17279,-999,0,-999
202301191207,548,127.63955688,37.26882935,2,16968,-999,0,-999
202301191208,548,127.63955688,37.26882935,2,16940,-999,0,-999
202301191209,548,127.63955688,37.26882935,2,16940,-999,0,-999
202301191210,548,127.63955688,37.26882935,2,17205,-999,0,-999
202301191211,548,127.63955688,37.26882935,2,17230,-999,0,-999
202301191212,548,127.63955688,37.26882935,2,17230,-999,0,-999
202301191213,548,127.63955688,37.26882935,2,17230,-999,0,-999
202301191214,548,127.63955688,37.26882935,2,18018,-999,0,-999
202301191215,548,127.63955688,37.26882935,2,18090,-999,0,-999
202301191216,548,127.63955688,37.26882935,2,18090,-999,0,-999
202301191217,548,127.63955688,37.26882935,2,18090,-999,0,-999
202301191218,548,127.63955688,37.26882935,2,18090,-999,0,-999
202301191219,548,127.63955688,37.26882935,2,18043,-999,0,-999
202301191220,548,127.63955688,37.26882935,2,18039,-999,0,-999
202301191221,548,127.63955688,37.26882935,2,19048,-999,0,-999
202301191222,548,127.63955688,37.26882935,2,19140,-999,0,-999
202301191223,548,127.63955688,37.26882935,2,19724,-999,0,-999
202301191224,548,127.63955688,37.26882935,2,19779,-999,0,-999
202301191225,548,127.63955688,37.26882935,2,19779,-999,0,-999
202301191226,548,127.63955688,37.26882935,2,19963,-999,0,-999
202301191227,548,127.63955688,37.26882935,2,19980,-999,0,-999
202301191228,548,127.63955688,37.26882935,2,20024,-999,0,-999
202301191229,548,127.63955688,37.26882935,2,20029,-999,0,-999
202301191230,548,127.63955688,37.26882935,2,20625,-999,0,-999
202301191231,548,127.63955688,37.26882935,2,20680,-999,0,-999
202301191232,548,127.63955688,37.26882935,2,20817,-999,0,-999
202301191233,548,127.63955688,37.26882935,2,20830,-999,0,-999
202301191234,548,127.63955688,37.26882935,2,20830,-999,0,-999
202301191235,548,127.63955688,37.26882935,2,20939,-999,0,-999
202301191236,548,127.63955688,37.26882935,2,20949,-999,0,-999
202301191237,548,127.63955688,37.26882935,2,21627,-999,0,-999
202301191238,548,127.63955688,37.26882935,2,21689,-999,0,-999
202301191239,548,127.63955688,37.26882935,2,21401,-999,0,-999
202301191240,548,127.63955688,37.26882935,2,21369,-999,0,-999
202301191241,548,127.63955688,37.26882935,2,21369,-999,0,-999
202301191242,548,127.63955688,37.26882935,2,21295,-999,0,-999
202301191243,548,127.63955688,37.26882935,2,21289,-999,0,-999
202301191244,548,127.63955688,37.26882935,2,22027,-999,0,-999
202301191245,548,127.63955688,37.26882935,2,22109,-999,0,-999
202301191246,548,127.63955688,37.26882935,2,22531,-999,0,-999
202301191247,548,127.63955688,37.26882935,2,23477,-999,0,-999
202301191248,548,127.63955688,37.26882935,2,23531,-999,0,-999
202301191249,548,127.63955688,37.26882935,2,23529,-999,0,-999
202301191250,548,127.63955688,37.26882935,2,23529,-999,0,-999
202301191251,548,127.63955688,37.26882935,2,22677,-999,0,-999
202301191252,548,127.63955688,37.26882935,2,22600,-999,0,-999
202301191253,548,127.63955688,37.26882935,2,23865,-999,0,-999
202301191254,548,127.63955688,37.26882935,2,23980,-999,0,-999
202301191255,548,127.63955688,37.26882935,2,23926,-999,0,-999
202301191256,548,127.63955688,37.26882935,2,23920,-999,0,-999
202301191257,548,127.63955688,37.26882935,2,24506,-999,0,-999
202301191258,548,127.63955688,37.26882935,2,24560,-999,0,-999
202301191259,548,127.63955688,37.26882935,2,24560,-999,0,-999
202301191300,548,127.63955688,37.26882935,2,23066,-999,0,-999
202301191301,548,127.63955688,37.26882935,2,22900,-999,0,-999
202301191302,548,127.63955688,37.26882935,2,24549,-999,0,-999
202301191303,548,127.63955688,37.26882935,2,24699,-999,0,-999
202301191304,548,127.63955688,37.26882935,2,23510,-999,0,-999
202301191305,548,127.63955688,37.26882935,2,23400,-999,0,-999
202301191306,548,127.63955688,37.26882935,2,23400,-999,0,-999
202301191307,548,127.63955688,37.26882935,2,22776,-999,0,-999
202301191308,548,127.63955688,37.26882935,2,22720,-999,0,-999
202301191309,548,127.63955688,37.26882935,2,23636,-999,0,-999
202301191310,548,127.63955688,37.26882935,2,23720,-999,0,-999
202301191311,548,127.63955688,37.26882935,2,24114,-999,0,-999
202301191312,548,127.63955688,37.26882935,2,24150,-999,0,-999
202301191313,548,127.63955688,37.26882935,2,24341,-999,0,-999
202301191314,548,127.63955688,37.26882935,2,24359,-999,0,-999
202301191315,548,127.63955688,37.26882935,2,24359,-999,0,-999
202301191316,548,127.63955688,37.26882935,2,25313,-999,0,-999
202301191317,548,127.63955688,37.26882935,2,25400,-999,0,-999
202301191318,548,127.63955688,37.26882935,2,24043,-999,0,-999
202301191319,548,127.63955688,37.26882935,2,23920,-999,0,-999
202301191320,548,127.63955688,37.26882935,2,24658,-999,0,-999
