,wind_deg,wind_velocity,air_temperature,r_humidity,surface_tmp,weather,dewpoint,uv
15594,0.0,0.0,1.4,99.9,3.9,1,1.3860364893879027,0.0
18531,351.0,0.6,6.2,58.2,21.3,0,-1.4145259332659161,0.0
5579,353.0,0.1,-8.8,34.9,0.0,0,-21.557811206328264,0.0
13346,0.0,0.0,3.5,50.7,9.8,0,-5.781041640052385,0.0
134,28.0,0.05,9.92,5.72,8.0,0,-26.663240070625285,0.0
4796,95.0,2.0,-10.1,27.1,9.4,0,-25.55197327274536,0.0
19854,331.0,0.5,2.2,84.3,5.9,0,-0.1761315260807622,0.0
7721,327.0,0.4,-3.3,60.5,-0.4,0,-9.862270046529698,0.0
5325,261.0,0.8,-15.0,68.4,-10.2,0,-19.52226609088127,0.0
21762,315.0,0.4,3.2,75.2,5.2,1,-0.7717932982074467,0.0
14635,63.0,1.2,7.0,37.1,21.5,4,-6.68812262626938,0.0
1986,105.0,1.3,0.2,63.5,-1.7,0,-5.918556910226451,0.0
19696,51.0,0.1,-0.5,90.2,2.9,0,-1.9090530474127216,0.0
20920,57.0,0.3,-0.5,79.4,4.9,0,-3.6288448188946982,0.0
13506,0.0,0.0,-3.8,93.2,0.0,4,-4.737858541675952,0.0
11809,61.0,1.6,5.3,39.7,18.6,0,-7.331901642483615,0.0
21843,335.0,0.2,2.5,93.1,5.4,4,1.4972194162743264,0.0
16350,0.0,0.0,-1.8,99.9,2.4,4,-1.813600435120584,0.0
15541,268.0,1.2,5.8,54.4,6.7,0,-2.7049884768169106,0.0
19671,0.0,0.0,-0.4,88.4,2.8,0,-2.0839060112248062,0.0
28361,81.0,0.4,4.5,76.9,10.1,0,0.796592197135129,0.0
17430,62.0,0.3,2.9,76.8,5.8,4,-0.7738980941084371,0.0
14364,94.0,0.3,-5.5,99.9,-3.2,4,-5.513186590755566,0.0
27397,277.0,0.5,1.4,64.2,7.1,0,-4.632818050275155,0.0
10936,200.0,0.3,-3.7,77.2,-0.4,0,-7.1132911381949695,0.0
23229,356.0,0.3,3.3,26.0,25.3,0,-14.421634044751775,0.0
9372,318.0,0.1,1.7,98.0,0.6,4,1.417657911448808,0.0
4353,122.0,1.0,-3.5,66.5,-0.5,0,-8.846216202918441,0.0
17728,22.0,0.2,3.2,92.0,4.8,0,2.0246538681528263,0.0
16875,0.0,0.0,-5.1,99.9,-2.4,4,-5.113231022444888,0.0
2079,76.0,2.3,-0.2,40.6,3.0,0,-12.013210962366127,0.0
27798,30.0,0.2,-3.3,85.8,2.0,0,-5.338716418629005,0.0
11435,0.0,0.0,-8.3,91.2,-4.2,0,-9.479744289951377,0.0
25120,0.0,0.0,-1.0,96.4,2.5,4,-1.5006974269806808,0.0
23461,274.0,0.4,-3.5,61.3,2.2,0,-9.884780899834633,0.0
15107,0.0,0.0,-6.5,99.9,-4.2,4,-6.5130758384559835,0.0
15132,92.0,1.0,-6.6,99.9,-4.4,4,-6.613064788912897,0.0
3906,92.0,0.7,-4.0,99.9,-2.8,0,-4.013353594893261,0.0
10986,348.0,0.5,-0.5,55.0,5.5,0,-8.445986070810394,0.0
14391,0.0,0.0,-3.5,99.9,-1.8,4,-3.5134094964558824,0.0
12678,88.0,0.6,-1.8,85.8,4.0,4,-3.864189502484232,0.0
6993,68.0,0.6,-6.6,38.8,-2.8,0,-18.349409788734807,0.0
18697,319.0,0.5,4.5,47.6,12.5,0,-5.6882429008072375,0.0
11561,359.0,0.2,-10.1,99.9,-6.4,0,-10.112680997222636,0.0
11527,0.0,0.0,-10.1,99.9,-5.8,0,-10.112680997222636,0.0
12947,0.0,0.0,-7.1,99.9,-4.0,4,-7.113009611252607,0.0
25029,352.0,0.2,-2.7,99.4,1.5,0,-2.7811755681711325,0.0
7467,289.0,0.7,-6.6,44.2,-0.6,0,-16.802049482026288,0.0
10786,0.0,0.0,-5.3,91.7,-2.6,0,-6.438527748510039,0.0
17014,0.0,0.0,-5.3,99.9,-3.0,4,-5.31320879725955,0.0
3418,341.0,0.6,1.7,53.8,7.1,0,-6.676582458855608,0.0
24843,332.0,0.5,4.0,53.3,9.0,0,-4.655980035256097,0.0
15434,55.0,0.5,4.8,50.8,9.9,0,-4.551108172996504,0.0
12002,33.0,0.4,-2.2,71.3,0.9,0,-6.697828607697277,0.0
18738,36.0,0.5,1.7,57.9,7.7,0,-5.714199784882046,0.0
24692,350.0,2.0,9.6,36.4,27.7,0,-4.619434815850807,0.0
20225,92.0,0.3,-1.5,83.8,1.2,0,-3.8848398180200783,0.0
9875,90.0,0.8,-2.5,61.5,-0.5,0,-8.89575891535968,0.0
4132,77.0,0.6,4.3,58.7,12.0,0,-3.0856568082116635,0.0
608,0.0,0.0,9.26,9.99,-4.2,4,-20.899052522117657,0.0
23509,75.0,0.2,-6.0,82.2,0.2,0,-8.545142517302414,0.0
23144,45.0,0.7,0.2,39.6,7.7,0,-11.96269343299474,0.0
20288,0.0,0.0,-4.6,99.9,-0.9,0,-4.61328666713912,0.0
15523,256.0,0.9,6.2,50.5,7.0,0,-3.334529065242977,0.0
5253,1.0,0.2,-19.5,96.2,-13.1,0,-19.951321679393505,0.0
11434,0.0,0.0,-8.3,91.1,-4.2,0,-9.49372361294485,0.0
24624,33.0,0.9,6.6,42.9,23.9,0,-5.1405821639063225,0.0
23665,22.0,0.2,-8.6,99.9,-3.6,0,-8.612844778823426,0.0
4806,55.0,1.3,-10.4,29.8,8.8,0,-24.76150786422559,0.0
11530,0.0,0.0,-10.1,99.9,-5.9,0,-10.112680997222636,0.0
20638,357.0,0.5,8.0,36.7,24.9,0,-5.937217667948228,0.0
16446,303.0,0.7,1.2,99.9,10.2,4,1.1860593217157045,0.0
26765,11.0,1.4,5.7,29.6,25.2,0,-10.732486763317553,0.0
5627,0.0,0.0,-11.7,69.3,-4.3,0,-16.195688106131527,0.0
9937,174.0,0.4,-4.3,75.8,-2.5,0,-7.932872228497522,0.0
20248,82.0,0.3,-2.7,90.5,0.5,0,-4.039391009129028,0.0
21611,227.0,0.5,4.2,67.4,6.7,4,-1.3078918425841022,0.0
18046,74.0,0.3,5.3,68.6,9.0,0,-0.013215489511069682,0.0
14081,12.0,0.4,0.5,69.3,5.6,0,-4.477092675778856,0.0
13702,0.0,0.0,-5.3,99.9,-2.9,4,-5.31320879725955,0.0
8690,351.0,0.4,-4.6,73.6,-5.0,0,-8.602574784501822,0.0
14112,80.0,0.3,-0.8,77.9,3.6,0,-4.175630782216549,0.0
21994,346.0,0.7,7.1,51.4,25.5,0,-2.263179068231896,0.0
8019,0.0,0.0,-12.1,99.9,-7.9,0,-12.11246425637877,0.0
9666,170.0,1.2,7.0,27.6,21.5,0,-10.486099956036039,0.0
14609,86.0,1.1,5.3,50.0,18.3,4,-4.299678872790748,0.0
28295,242.0,0.9,8.6,55.4,17.0,0,0.1573397131678765,0.0
15615,81.0,0.4,1.2,99.9,3.8,1,1.1860593217157045,0.0
18913,26.0,0.2,-3.7,88.8,0.2,0,-5.278980773986309,0.0
8528,318.0,0.8,0.0,79.1,-1.7,0,-3.1925507736750056,0.0
11803,28.0,0.6,5.3,41.5,20.7,0,-6.755007582984173,0.0
18087,48.0,0.2,2.5,83.6,7.0,0,0.002972215916547395,0.0
4168,161.0,0.6,1.9,73.0,7.7,0,-2.4325145013016387,0.0
14701,106.0,0.7,7.1,27.9,13.7,0,-10.262835512368747,0.0
27019,0.0,0.0,-0.5,64.4,6.1,0,-6.399886541950682,0.0
2613,21.0,0.2,-12.4,99.9,-8.3,0,-12.412431906379545,0.0
11479,0.0,0.2,-9.1,98.6,-5.0,0,-9.280107155944345,0.0
24026,109.0,1.3,8.5,30.9,23.2,0,-7.7373179359461295,0.0
9027,162.0,1.0,4.0,21.6,19.0,0,-16.072096189758433,0.0
71,35.0,0.03,9.96,5.06,12.7,0,-27.967029518638572,0.0
2568,321.0,0.1,-11.6,99.9,-7.7,0,-11.612518266451346,0.0
7638,314.0,1.6,-0.4,37.4,10.2,0,-13.211727863582304,0.0
22994,357.0,0.3,-9.1,94.7,-4.8,0,-9.794123119442533,0.0
5016,299.0,0.6,-15.9,54.4,-10.0,0,-23.00792408747725,0.0
5669,0.0,0.0,-12.7,78.9,-5.9,0,-15.600285338985126,0.0
20021,321.0,0.7,4.5,54.8,13.9,0,-3.8199941818153897,0.0
11580,0.0,0.0,-10.6,99.9,-6.6,0,-10.612626636873317,0.0
14066,0.0,0.0,2.2,62.7,7.2,0,-4.187351827426695,0.0
18610,13.0,0.9,5.7,47.3,19.4,0,-4.669126635496278,0.0
4797,87.0,2.0,-10.4,25.9,9.4,0,-26.31164507305807,0.0
18291,0.0,0.0,-0.8,97.7,1.9,0,-1.1185307971817022,0.0
23966,325.0,0.8,8.0,32.6,27.6,0,-7.482787203808304,0.0
8939,45.0,0.8,2.2,33.1,10.7,0,-12.40794668920332,0.0
160,0.0,0.0,9.85,6.61,5.6,0,-25.12186207378954,0.0
13923,85.0,0.7,6.2,52.0,14.3,0,-2.9410155320296982,0.0
6605,0.0,0.0,-14.2,99.9,-9.5,4,-14.212238689082682,0.0
7718,77.0,0.7,-3.2,59.2,-0.2,0,-10.043460103328142,0.0
22719,83.0,1.6,-1.8,33.3,3.1,0,-15.876600500083166,0.0
19927,331.0,0.9,3.5,81.6,10.7,0,0.6463529636408321,0.0
22064,134.0,2.7,6.6,34.0,16.4,0,-8.175329034309076,0.0
8753,71.0,0.5,-4.8,72.1,-5.7,0,-9.059551823804313,0.0
10831,0.0,0.0,-5.0,85.5,-2.5,0,-7.055610010649923,0.0
21298,10.0,0.4,6.0,52.3,10.8,0,-3.049252995372492,0.0
17941,81.0,0.8,9.8,48.8,18.5,0,-0.4779876365078575,0.0
1913,301.0,0.7,1.4,77.4,-0.1,0,-2.124101766963086,0.0
15905,75.0,1.4,7.1,71.5,8.2,0,2.2910878844534794,0.0
26653,330.0,0.1,-2.7,71.6,-1.5,0,-7.1247764846556265,0.0
7826,0.0,0.0,-7.9,88.5,-4.6,0,-9.467380616159431,0.0
7921,0.0,0.0,-9.8,95.1,-6.5,0,-10.436723228391838,0.0
15896,61.0,0.7,7.0,72.0,9.1,1,2.292830426801511,0.0
1122,0.0,0.0,-8.6,99.9,-4.7,4,-8.612844778823426,0.0
1190,18.0,0.2,-8.3,99.9,-5.0,0,-8.312877661243027,0.0
26153,75.0,1.1,6.6,22.2,25.4,0,-13.542570909838574,0.0
11186,326.0,0.9,1.5,36.0,9.2,0,-11.984495494450352,0.0
25706,20.0,0.3,-3.0,82.1,0.4,0,-5.625625744485066,0.0
8883,267.0,0.7,-1.5,62.1,-0.5,0,-7.8229051163989425,0.0
14855,0.0,0.0,-3.7,87.3,0.4,0,-5.503735448365786,0.0
24918,5.0,0.3,-0.7,80.0,5.0,0,-3.7230464190835177,0.0
24408,352.0,0.2,-4.8,94.1,-1.2,0,-5.603559163831972,0.0
1694,269.0,1.4,2.2,70.0,2.9,0,-2.7105540328106135,0.0
22414,0.0,0.0,-6.1,99.9,-2.7,0,-6.1131200833317365,0.0
23515,0.0,0.0,-6.3,84.6,0.0,0,-8.469416733699576,0.0
6548,0.0,0.3,-12.9,99.9,-8.2,4,-12.912378083121386,0.0
24473,0.0,0.0,-5.8,99.9,-2.1,0,-5.813153316027124,0.0
28150,79.0,1.2,10.6,17.3,29.5,0,-13.283177368172472,0.0
1375,39.0,0.6,-3.0,82.2,2.0,0,-5.6095969131884145,0.0
17739,92.0,1.2,4.5,80.8,5.8,1,1.485613489478131,0.0
3780,75.0,0.2,-5.1,98.3,-3.1,0,-5.326544540232511,0.0
12441,265.0,0.9,1.7,68.4,10.8,0,-3.5010778680167487,0.0
1985,255.0,1.0,0.4,64.5,-1.7,0,-5.522757511627949,0.0
12975,231.0,0.7,-7.3,99.9,-4.2,4,-7.312987572880893,0.0
6748,287.0,0.8,-5.6,84.1,-2.6,0,-7.858814300883558,0.0
3405,269.0,1.1,1.9,51.0,8.2,1,-7.1866062788302445,0.0
5400,324.0,1.1,-11.1,46.4,4.1,0,-20.364364686553017,0.0
23236,272.0,0.6,3.3,24.8,25.9,0,-14.997118565932784,0.0
13419,0.0,0.0,-0.7,75.5,4.2,0,-4.495088909301999,0.0
27876,0.0,0.0,-5.3,99.9,-0.3,0,-5.31320879725955,0.0
24088,0.0,0.0,4.7,43.1,12.3,0,-6.806124307213197,0.0
13386,0.0,0.0,0.5,64.8,6.4,0,-5.3663469595003335,0.0
27130,11.0,0.2,-4.6,90.1,0.9,0,-5.976529532928673,0.0
12557,211.0,0.4,6.3,49.6,17.8,0,-3.483338131550344,0.0
861,12.0,0.1,1.2,45.6,7.5,0,-9.27318394155327,0.0
