time,weather
202302100000,0
202302100001,0
202302100002,0
202302100003,1
202302100004,1
202302100005,1
202302100006,1
202302100007,1
202302100008,1
202302100009,1
202302100010,1
202302100011,1
202302100012,1
202302100013,1
202302100014,0
202302100015,1
202302100016,1
202302100017,1
202302100018,1
202302100019,1
202302100020,1
202302100021,1
202302100022,1
202302100023,1
202302100024,1
202302100025,1
202302100026,1
202302100027,1
202302100028,1
202302100029,1
202302100030,1
202302100031,1
202302100032,1
202302100033,1
202302100034,1
202302100035,1
202302100036,1
202302100037,1
202302100038,1
202302100039,1
202302100040,1
202302100041,1
202302100042,1
202302100043,1
202302100044,1
202302100045,1
202302100046,1
202302100047,1
202302100048,1
202302100049,1
202302100050,1
202302100051,1
202302100052,1
202302100053,1
202302100054,1
202302100055,1
202302100056,1
202302100057,1
202302100058,1
202302100059,1
202302100100,1
202302100101,1
202302100102,1
202302100103,1
202302100104,1
202302100105,1
202302100106,1
202302100107,1
202302100108,1
202302100109,1
202302100110,1
202302100111,1
202302100112,1
202302100113,1
202302100114,1
202302100115,1
202302100116,1
202302100117,1
202302100118,1
202302100119,1
202302100120,1
202302100121,1
202302100122,1
202302100123,1
202302100124,1
202302100125,1
202302100126,1
202302100127,1
202302100128,1
202302100129,1
202302100130,1
202302100131,1
202302100132,1
202302100133,1
202302100134,1
202302100135,1
202302100136,1
202302100137,1
202302100138,1
202302100139,1
202302100141,1
202302100142,1
202302100143,1
202302100144,1
202302100145,1
202302100146,1
202302100147,1
202302100148,1
202302100149,1
202302100150,1
202302100151,1
202302100152,1
202302100153,1
202302100154,1
202302100155,1
202302100156,1
202302100157,1
202302100158,1
202302100159,1
202302100200,1
202302100201,1
202302100202,1
202302100203,1
202302100204,1
202302100205,1
202302100206,1
202302100207,1
202302100208,1
202302100209,1
202302100210,1
202302100211,1
202302100212,1
202302100213,1
202302100214,1
202302100215,1
202302100216,1
202302100217,1
202302100218,1
202302100219,1
202302100220,1
202302100221,1
202302100222,1
202302100223,1
202302100224,1
202302100225,1
202302100226,1
202302100227,1
202302100228,1
202302100229,1
202302100230,1
202302100231,1
202302100232,1
202302100233,1
202302100234,1
202302100235,1
202302100236,1
202302100237,1
202302100238,1
202302100239,1
202302100240,1
202302100241,1
202302100242,1
202302100243,1
202302100244,1
202302100245,1
202302100246,1
202302100247,1
202302100248,1
202302100249,1
202302100250,1
202302100251,1
202302100252,1
202302100253,1
202302100254,1
202302100255,1
202302100256,1
202302100257,1
202302100258,1
202302100259,1
202302100300,1
202302100301,1
202302100302,1
202302100303,1
202302100304,1
202302100305,1
202302100306,1
202302100307,1
202302100308,1
202302100309,1
202302100310,1
202302100311,1
202302100312,1
202302100313,1
202302100314,1
202302100315,1
202302100316,1
202302100317,1
202302100318,1
202302100319,1
202302100320,1
202302100321,1
202302100322,1
202302100323,1
202302100324,1
202302100325,1
202302100326,1
202302100327,1
202302100328,1
202302100329,1
202302100330,1
202302100331,1
202302100332,1
202302100333,1
202302100334,1
202302100335,1
202302100336,1
202302100337,1
202302100338,1
202302100339,1
202302100340,1
202302100341,1
202302100342,1
202302100343,1
202302100344,1
202302100345,1
202302100346,4
202302100347,4
202302100348,4
202302100349,4
202302100350,4
202302100351,4
202302100352,4
202302100353,4
202302100354,4
202302100355,4
202302100356,4
202302100357,4
202302100358,4
202302100359,4
202302100400,4
202302100401,4
202302100402,4
202302100403,4
202302100404,4
202302100405,4
202302100406,4
202302100407,4
202302100426,4
202302100427,4
202302100428,4
202302100429,4
202302100430,4
202302100431,4
202302100432,4
202302100433,4
202302100434,4
202302100435,4
202302100436,4
202302100437,4
202302100438,4
202302100439,4
202302100440,4
202302100441,4
202302100442,4
202302100443,4
202302100444,4
202302100445,4
202302100446,4
202302100447,4
202302100448,4
202302100449,4
202302100450,4
202302100451,4
202302100452,4
202302100453,4
202302100454,4
202302100455,4
202302100456,4
202302100457,4
202302100458,4
202302100459,4
202302100500,4
202302100501,4
202302100502,4
202302100503,4
202302100504,4
202302100505,4
202302100506,4
202302100507,4
202302100508,4
202302100509,4
202302100510,4
202302100511,4
202302100512,4
202302100513,4
202302100514,4
202302100515,4
202302100516,4
202302100517,4
202302100518,4
202302100519,4
202302100520,4
202302100521,4
202302100522,4
202302100523,4
202302100524,4
202302100525,4
202302100526,4
202302100527,4
202302100528,4
202302100529,4
202302100530,4
202302100531,4
202302100532,4
202302100533,4
202302100534,4
202302100535,4
202302100536,4
202302100537,4
202302100538,4
202302100539,4
202302100540,4
202302100541,4
202302100542,4
202302100543,4
202302100544,1
202302100545,1
202302100546,4
202302100547,4
202302100548,4
202302100549,1
202302100550,1
202302100551,4
202302100552,4
202302100553,4
202302100554,4
202302100555,4
202302100556,4
202302100557,4
202302100558,4
202302100559,4
202302100600,4
202302100601,4
202302100602,4
202302100603,4
202302100604,4
202302100605,1
202302100606,1
202302100607,1
202302100608,1
202302100609,4
202302100610,4
202302100611,1
202302100612,4
202302100613,4
202302100614,4
202302100615,4
202302100616,1
202302100617,1
202302100618,1
202302100619,1
202302100620,1
202302100621,1
202302100622,1
202302100623,1
202302100624,1
202302100625,4
202302100626,4
202302100627,1
202302100628,1
202302100629,1
202302100630,1
202302100631,1
202302100632,1
202302100633,1
202302100634,1
202302100635,1
202302100636,1
202302100637,1
202302100638,1
202302100639,1
202302100640,1
202302100641,1
202302100642,1
202302100643,1
202302100644,1
202302100645,1
202302100646,1
202302100647,1
202302100648,1
202302100649,1
202302100650,1
202302100651,1
202302100652,1
202302100653,1
202302100654,1
202302100655,1
202302100656,1
202302100657,1
202302100658,1
202302100659,1
202302100700,1
202302100701,1
202302100702,1
202302100703,1
202302100704,1
202302100705,1
202302100706,1
202302100707,1
202302100708,1
202302100709,1
202302100710,1
202302100711,1
202302100712,1
202302100713,1
202302100714,1
202302100715,1
202302100716,1
202302100717,1
202302100718,1
202302100719,1
202302100720,1
202302100721,1
202302100722,4
202302100723,4
202302100724,1
202302100725,1
202302100726,1
202302100727,1
202302100728,1
202302100729,1
202302100730,1
202302100731,1
202302100732,1
202302100733,1
202302100734,1
202302100735,1
202302100736,1
202302100737,1
202302100738,1
202302100739,1
202302100740,1
202302100741,1
202302100742,1
202302100743,1
202302100744,1
202302100745,4
202302100746,4
202302100747,1
202302100748,1
202302100749,1
202302100750,1
202302100751,1
202302100752,1
202302100753,1
202302100754,4
202302100755,4
202302100756,1
202302100757,1
202302100758,1
202302100759,1
202302100800,1
202302100801,4
202302100802,4
202302100803,4
202302100804,4
202302100805,1
202302100806,1
202302100807,1
202302100808,1
202302100809,1
202302100810,1
202302100811,1
202302100812,1
202302100813,1
202302100814,1
202302100815,1
202302100816,1
202302100817,1
202302100818,1
202302100819,4
202302100820,4
202302100821,4
202302100822,4
202302100823,4
202302100824,4
202302100825,4
202302100826,4
202302100827,4
202302100828,1
202302100829,1
202302100830,1
202302100831,1
202302100832,4
202302100833,4
202302100834,4
202302100835,4
202302100836,4
202302100837,0
202302100838,0
202302100839,4
202302100840,4
202302100841,4
202302100842,4
202302100843,4
202302100844,0
202302100845,0
202302100846,1
202302100847,1
202302100848,1
202302100849,1
202302100850,1
202302100851,1
202302100852,1
202302100853,1
202302100854,1
202302100855,1
202302100856,1
202302100857,1
202302100858,1
202302100859,1
202302100900,1
202302100901,1
202302100902,1
202302100903,1
202302100904,1
202302100905,1
202302100906,1
202302100907,1
202302100908,1
202302100909,1
202302100910,1
202302100911,1
202302100912,1
202302100913,1
202302100914,1
202302100915,1
202302100916,1
202302100917,1
202302100918,1
202302100919,1
202302100920,1
202302100921,1
202302100922,1
202302100923,1
202302100924,1
202302100925,1
202302100926,1
202302100927,1
202302100928,1
202302100929,0
202302100930,0
202302100931,1
202302100932,1
202302100933,1
202302100934,1
202302100935,1
202302100936,0
202302100937,0
202302100938,0
202302100939,0
202302100940,0
202302100941,0
202302100942,0
202302100943,0
202302100944,0
202302100945,0
202302100946,0
202302100947,0
202302100948,0
202302100949,0
202302100950,0
202302100951,0
202302100952,0
202302100953,0
202302100954,0
