time,weather
202302110000,4
202302110001,4
202302110002,4
202302110003,4
202302110004,4
202302110005,4
202302110006,4
202302110007,4
202302110008,4
202302110009,4
202302110010,4
202302110011,4
202302110012,4
202302110013,4
202302110014,4
202302110015,4
202302110016,4
202302110017,4
202302110018,4
202302110019,4
202302110020,4
202302110021,4
202302110022,4
202302110023,4
202302110024,4
202302110025,4
202302110026,4
202302110027,4
202302110028,4
202302110029,4
202302110030,4
202302110031,4
202302110032,4
202302110033,4
202302110034,4
202302110035,4
202302110036,4
202302110037,4
202302110038,4
202302110039,4
202302110040,4
202302110041,4
202302110042,4
202302110043,4
202302110044,4
202302110045,4
202302110046,4
202302110047,4
202302110048,4
202302110049,4
202302110050,4
202302110051,4
202302110052,4
202302110053,4
202302110054,4
202302110055,4
202302110056,4
202302110057,4
202302110058,4
202302110059,4
202302110100,4
202302110101,4
202302110102,4
202302110103,4
202302110104,4
202302110105,4
202302110106,4
202302110107,4
202302110108,4
202302110109,4
202302110110,4
202302110111,4
202302110112,4
202302110113,4
202302110114,4
202302110115,4
202302110116,4
202302110117,4
202302110118,4
202302110119,4
202302110120,4
202302110121,4
202302110122,4
202302110123,4
202302110124,4
202302110125,4
202302110126,4
202302110127,4
202302110128,4
202302110129,4
202302110130,4
202302110131,4
202302110132,4
202302110133,4
202302110134,4
202302110135,4
202302110136,4
202302110137,4
202302110138,4
202302110139,4
202302110140,4
202302110141,4
202302110142,4
202302110143,4
202302110144,4
202302110145,4
202302110146,4
202302110147,4
202302110148,4
202302110149,4
202302110150,4
202302110151,4
202302110152,4
202302110153,4
202302110154,4
202302110155,4
202302110156,4
202302110157,4
202302110158,4
202302110159,4
202302110200,4
202302110201,4
202302110202,4
202302110203,4
202302110204,4
202302110205,4
202302110206,4
202302110207,4
202302110208,4
202302110209,4
202302110210,4
202302110211,4
202302110212,4
202302110213,4
202302110214,4
202302110215,4
202302110216,4
202302110217,4
202302110218,4
202302110219,4
202302110220,4
202302110221,4
202302110222,4
202302110223,4
202302110224,4
202302110225,4
202302110226,4
202302110227,4
202302110228,4
202302110229,4
202302110230,4
202302110231,4
202302110232,4
202302110233,4
202302110234,4
202302110235,4
202302110236,4
202302110237,4
202302110238,4
202302110239,4
202302110240,4
202302110241,4
202302110242,4
202302110243,4
202302110244,4
202302110245,4
202302110246,4
202302110247,4
202302110248,4
202302110249,4
202302110250,4
202302110251,4
202302110252,4
202302110253,4
202302110254,4
202302110255,4
202302110256,4
202302110257,4
202302110258,4
202302110259,4
202302110300,4
202302110301,4
202302110302,4
202302110303,4
202302110304,4
202302110305,4
202302110306,4
202302110307,4
202302110308,4
202302110309,4
202302110310,4
202302110311,4
202302110312,4
202302110313,4
202302110314,4
202302110315,4
202302110329,4
202302110330,4
202302110331,4
202302110332,4
202302110333,4
202302110334,4
202302110335,4
202302110336,4
202302110337,4
202302110338,4
202302110339,4
202302110340,4
202302110341,4
202302110342,4
202302110343,4
202302110344,4
202302110345,4
202302110346,4
202302110347,4
202302110348,4
202302110349,4
202302110350,4
202302110351,4
202302110352,4
202302110353,4
202302110354,4
202302110355,4
202302110356,4
202302110357,4
202302110358,4
202302110359,4
202302110400,4
202302110401,4
202302110402,4
202302110403,4
202302110404,4
202302110405,4
202302110406,4
202302110407,4
202302110408,4
202302110409,4
202302110410,4
202302110411,4
202302110412,4
202302110413,4
202302110414,4
202302110415,4
202302110416,4
202302110417,4
202302110418,4
202302110419,4
202302110420,4
202302110421,4
202302110422,4
202302110423,4
202302110424,4
202302110425,4
202302110426,4
202302110427,4
202302110428,4
202302110429,4
202302110430,4
202302110431,4
202302110432,4
202302110433,4
202302110434,4
202302110435,4
202302110436,4
202302110437,4
202302110438,4
202302110439,4
202302110440,4
202302110441,4
202302110442,4
202302110443,4
202302110444,4
202302110445,4
202302110446,4
202302110447,4
202302110448,4
202302110449,4
202302110450,4
202302110451,4
202302110452,4
202302110453,4
202302110454,4
202302110455,4
202302110456,4
202302110457,4
202302110458,4
202302110459,4
202302110500,4
202302110501,4
202302110502,4
202302110503,4
202302110504,4
202302110505,4
202302110506,4
202302110507,4
202302110508,4
202302110509,4
202302110510,4
202302110511,4
202302110512,4
202302110513,4
202302110514,4
202302110515,4
202302110516,4
202302110517,4
202302110518,4
202302110519,4
202302110520,4
202302110521,4
202302110522,4
202302110523,4
202302110524,4
202302110525,4
202302110526,4
202302110527,4
202302110528,4
202302110529,4
202302110530,4
202302110531,4
202302110532,4
202302110533,4
202302110534,4
202302110535,4
202302110536,4
202302110537,4
202302110538,4
202302110539,4
202302110540,4
202302110541,4
202302110542,4
202302110543,4
202302110544,4
202302110545,4
202302110546,4
202302110547,4
202302110548,4
202302110549,4
202302110550,4
202302110551,4
202302110552,4
202302110553,4
202302110554,4
202302110555,4
202302110556,4
202302110557,4
202302110558,4
202302110559,4
202302110600,4
202302110601,4
202302110602,4
202302110603,4
202302110604,4
202302110605,4
202302110606,4
202302110607,4
202302110608,4
202302110609,4
202302110610,4
202302110611,4
202302110612,4
202302110613,4
202302110614,4
202302110615,4
202302110616,4
202302110617,4
202302110618,4
202302110619,4
202302110620,4
202302110621,4
202302110622,4
202302110623,4
202302110624,4
202302110625,4
202302110626,4
202302110627,4
202302110628,4
202302110629,4
202302110630,4
202302110631,4
202302110632,4
202302110633,4
202302110634,4
202302110635,4
202302110636,4
202302110637,4
202302110638,4
202302110639,4
202302110640,4
202302110641,4
202302110642,4
202302110643,4
202302110644,4
202302110645,4
202302110646,4
202302110647,4
202302110648,4
202302110649,4
202302110650,4
202302110651,4
202302110652,4
202302110653,4
202302110654,4
202302110655,4
202302110656,4
202302110657,4
202302110658,4
202302110659,4
202302110700,4
202302110701,4
202302110702,4
202302110703,4
202302110704,4
202302110705,4
202302110706,4
202302110707,4
202302110708,4
202302110709,4
202302110710,4
202302110711,4
202302110712,4
202302110713,4
202302110714,4
202302110715,4
202302110716,4
202302110717,4
202302110718,4
202302110719,4
202302110720,4
202302110721,4
202302110722,4
202302110723,4
202302110724,4
202302110725,4
202302110726,4
202302110727,4
202302110728,4
202302110729,4
202302110730,4
202302110731,4
202302110732,4
202302110733,4
202302110734,4
202302110735,4
202302110736,4
202302110737,4
202302110738,4
202302110739,4
202302110740,4
202302110741,4
202302110742,4
202302110743,4
202302110744,4
202302110745,4
202302110746,4
202302110747,4
202302110748,4
202302110749,4
202302110750,4
202302110751,4
202302110752,4
202302110753,4
202302110754,4
202302110755,4
202302110756,4
202302110757,4
202302110758,4
202302110759,4
202302110800,4
202302110801,4
202302110802,4
202302110803,4
202302110804,4
202302110805,4
202302110806,4
202302110807,4
202302110808,4
202302110809,4
202302110810,4
202302110811,4
202302110812,4
202302110813,4
202302110814,4
202302110815,4
202302110816,4
202302110817,4
202302110818,4
202302110819,4
202302110820,4
202302110821,4
202302110822,4
202302110823,4
202302110824,4
202302110825,4
202302110826,4
202302110827,4
202302110828,4
202302110829,4
202302110830,4
202302110831,4
202302110832,4
202302110833,4
202302110834,4
202302110835,4
202302110836,4
202302110837,4
