time,weather
202301260000,0
202301260001,0
202301260002,0
202301260003,0
202301260004,0
202301260005,0
202301260006,0
202301260007,0
202301260008,0
202301260009,0
202301260010,0
202301260011,0
202301260012,0
202301260013,0
202301260014,0
202301260015,0
202301260016,0
202301260017,0
202301260018,0
202301260019,0
202301260020,0
202301260021,0
202301260022,0
202301260023,0
202301260024,0
202301260025,0
202301260026,0
202301260027,0
202301260028,0
202301260029,0
202301260030,0
202301260031,0
202301260032,0
202301260033,0
202301260034,0
202301260035,0
202301260036,0
202301260037,0
202301260038,0
202301260039,0
202301260040,0
202301260041,0
202301260042,0
202301260043,0
202301260044,0
202301260045,0
202301260046,0
202301260047,0
202301260048,0
202301260049,0
202301260050,0
202301260051,0
202301260052,0
202301260053,0
202301260054,0
202301260055,0
202301260056,0
202301260057,0
202301260058,0
202301260059,0
202301260100,0
202301260101,0
202301260102,0
202301260103,0
202301260104,0
202301260105,0
202301260106,0
202301260107,0
202301260108,0
202301260109,0
202301260110,0
202301260111,0
202301260112,0
202301260113,0
202301260114,0
202301260115,0
202301260116,0
202301260117,0
202301260118,0
202301260119,0
202301260120,0
202301260121,0
202301260122,0
202301260123,0
202301260124,0
202301260125,0
202301260126,0
202301260127,0
202301260128,0
202301260129,0
202301260130,0
202301260131,0
202301260132,0
202301260133,0
202301260134,0
202301260135,0
202301260136,0
202301260137,0
202301260138,0
202301260139,0
202301260140,0
202301260141,0
202301260142,0
202301260143,0
202301260144,0
202301260145,0
202301260146,0
202301260147,0
202301260148,0
202301260149,0
202301260150,0
202301260151,0
202301260152,0
202301260153,0
202301260154,0
202301260155,0
202301260156,0
202301260157,0
202301260158,0
202301260159,0
202301260200,0
202301260201,0
202301260202,0
202301260203,0
202301260204,0
202301260205,0
202301260206,0
202301260207,0
202301260208,0
202301260209,0
202301260210,0
202301260211,0
202301260212,0
202301260213,0
202301260214,0
202301260215,0
202301260216,0
202301260217,0
202301260218,0
202301260219,0
202301260220,0
202301260221,0
202301260222,0
202301260223,0
202301260224,0
202301260225,0
202301260226,0
202301260227,0
202301260228,0
202301260229,0
202301260230,0
202301260231,0
202301260232,0
202301260233,0
202301260234,0
202301260235,0
202301260236,0
202301260237,0
202301260238,0
202301260239,0
202301260240,0
202301260241,0
202301260242,0
202301260243,0
202301260244,0
202301260245,0
202301260246,0
202301260247,0
202301260248,0
202301260249,0
202301260250,0
202301260251,0
202301260252,0
202301260253,0
202301260254,0
202301260255,0
202301260256,0
202301260257,0
202301260258,0
202301260259,0
202301260300,0
202301260301,0
202301260302,0
202301260303,0
202301260304,0
202301260305,0
202301260306,0
202301260307,0
202301260308,0
202301260309,0
202301260310,0
202301260311,0
202301260312,0
202301260313,0
202301260314,0
202301260315,0
202301260316,0
202301260317,0
202301260318,0
202301260319,0
202301260320,0
202301260321,0
202301260322,0
202301260323,0
202301260324,0
202301260325,0
202301260326,0
202301260327,0
202301260328,0
202301260329,0
202301260330,0
202301260331,0
202301260332,0
202301260333,0
202301260334,0
202301260335,0
202301260336,0
202301260337,0
202301260338,0
202301260339,0
202301260340,0
202301260341,0
202301260342,0
202301260343,0
202301260344,0
202301260345,0
202301260346,0
202301260347,0
202301260348,0
202301260349,0
202301260350,0
202301260351,0
202301260352,0
202301260353,0
202301260354,0
202301260355,0
202301260356,0
202301260357,0
202301260358,0
202301260359,0
202301260400,0
202301260401,0
202301260402,0
202301260403,0
202301260404,0
202301260405,0
202301260406,0
202301260407,0
202301260408,0
202301260409,0
202301260410,0
202301260411,0
202301260412,0
202301260413,0
202301260414,0
202301260415,0
202301260416,0
202301260417,0
202301260418,0
202301260419,0
202301260420,0
202301260421,0
202301260422,0
202301260423,0
202301260424,0
202301260425,0
202301260426,0
202301260427,0
202301260428,0
202301260429,0
202301260430,0
202301260431,0
202301260432,0
202301260433,0
202301260434,0
202301260435,0
202301260436,0
202301260437,0
202301260438,0
202301260439,0
202301260440,0
202301260441,0
202301260442,0
202301260443,0
202301260444,0
202301260445,0
202301260446,0
202301260447,0
202301260448,0
202301260449,0
202301260450,0
202301260451,0
202301260452,0
202301260453,0
202301260454,0
202301260455,0
202301260456,0
202301260457,0
202301260458,0
202301260459,0
202301260500,0
202301260501,0
202301260502,0
202301260503,0
202301260504,0
202301260505,0
202301260506,0
202301260507,0
202301260508,0
202301260509,0
202301260510,0
202301260511,0
202301260512,0
202301260513,0
202301260514,0
202301260515,0
202301260516,0
202301260517,0
202301260518,0
202301260519,0
202301260520,0
202301260521,0
202301260522,0
202301260523,0
202301260524,0
202301260525,0
202301260526,0
202301260527,0
202301260528,0
202301260529,0
202301260530,0
202301260531,0
202301260532,0
202301260533,0
202301260534,0
202301260535,0
202301260536,0
202301260537,0
202301260538,0
202301260539,0
202301260540,0
