time,weather
202301270000,4
202301270001,4
202301270002,4
202301270003,4
202301270004,4
202301270005,4
202301270006,4
202301270007,4
202301270008,4
202301270009,4
202301270010,4
202301270011,4
202301270012,4
202301270013,4
202301270014,4
202301270015,4
202301270016,4
202301270017,4
202301270018,4
202301270019,4
202301270020,4
202301270021,4
202301270022,4
202301270023,4
202301270024,4
202301270025,4
202301270026,4
202301270027,4
202301270028,4
202301270029,4
202301270030,4
202301270031,4
202301270032,4
202301270033,4
202301270034,4
202301270035,4
202301270036,4
202301270037,4
202301270038,4
202301270039,4
202301270040,4
202301270041,4
202301270042,4
202301270043,4
202301270044,4
202301270045,4
202301270046,4
202301270047,4
202301270048,4
202301270049,4
202301270050,4
202301270051,4
202301270052,4
202301270053,4
202301270054,4
202301270055,4
202301270056,4
202301270057,4
202301270058,4
202301270059,4
202301270100,4
202301270101,4
202301270102,4
202301270103,4
202301270104,4
202301270105,4
202301270106,4
202301270107,4
202301270108,4
202301270109,4
202301270110,4
202301270111,4
202301270112,4
202301270113,4
202301270114,4
202301270115,4
202301270116,4
202301270117,4
202301270118,4
202301270119,4
202301270120,4
202301270121,4
202301270122,4
202301270123,4
202301270124,4
202301270125,4
202301270126,4
202301270127,4
202301270128,4
202301270129,4
202301270130,4
202301270131,4
202301270132,4
202301270133,4
202301270134,4
202301270135,4
202301270136,4
202301270137,4
202301270138,4
202301270139,4
202301270140,4
202301270141,4
202301270142,4
202301270143,4
202301270144,4
202301270145,4
202301270146,4
202301270147,4
202301270148,4
202301270149,4
202301270150,4
202301270151,4
202301270152,4
202301270153,4
202301270154,4
202301270155,4
202301270156,4
202301270157,4
202301270158,4
202301270159,4
202301270200,4
202301270201,4
202301270202,4
202301270203,4
202301270204,4
202301270205,4
202301270206,4
202301270207,4
202301270208,4
202301270209,4
202301270210,4
202301270211,4
202301270212,4
202301270213,4
202301270214,4
202301270215,4
202301270216,4
202301270217,4
202301270218,4
202301270219,4
202301270220,4
202301270221,4
202301270222,4
202301270223,4
202301270224,4
202301270225,4
202301270226,4
202301270227,4
202301270228,4
202301270229,4
202301270230,4
202301270231,4
202301270232,4
202301270233,4
202301270234,4
202301270235,4
202301270236,4
202301270237,4
202301270238,4
202301270239,4
202301270240,4
202301270241,4
202301270242,4
202301270243,4
202301270244,4
202301270245,4
202301270246,4
202301270247,4
202301270248,4
202301270249,4
202301270250,4
202301270251,4
202301270252,4
202301270253,4
202301270254,4
202301270255,4
202301270256,4
202301270257,4
202301270258,4
202301270259,4
202301270300,4
202301270301,4
202301270302,4
202301270303,4
202301270304,4
202301270305,4
202301270306,4
202301270307,4
202301270308,4
202301270309,4
202301270310,4
202301270311,4
202301270312,4
202301270313,4
202301270314,4
202301270315,4
202301270316,4
202301270317,4
202301270318,4
202301270319,4
202301270320,4
202301270321,4
202301270322,4
202301270323,4
202301270324,4
202301270325,4
202301270326,4
202301270327,4
202301270328,4
202301270329,4
202301270330,4
202301270331,4
202301270332,4
202301270333,4
202301270334,4
202301270335,4
202301270336,4
202301270337,4
202301270338,4
202301270339,4
202301270340,4
202301270341,4
202301270342,4
202301270343,4
202301270344,4
202301270345,4
202301270346,4
202301270347,4
202301270348,4
202301270349,4
202301270350,4
202301270351,4
202301270352,4
202301270353,4
202301270354,4
202301270355,4
202301270356,4
202301270357,4
202301270358,4
202301270359,4
202301270400,4
202301270401,4
202301270402,4
202301270403,4
202301270404,4
202301270405,4
202301270406,4
202301270407,4
202301270408,4
202301270409,4
202301270410,4
202301270411,4
202301270412,4
202301270413,4
202301270414,4
202301270415,4
202301270416,4
202301270417,4
202301270418,4
202301270419,4
202301270420,4
202301270421,4
202301270422,4
202301270423,4
202301270424,4
202301270425,4
202301270426,4
202301270427,4
202301270428,4
202301270429,4
202301270430,4
202301270431,4
202301270432,4
202301270433,4
202301270434,4
202301270435,4
202301270436,4
202301270437,4
202301270438,4
202301270439,4
202301270440,4
202301270441,4
202301270442,4
202301270443,4
202301270444,4
202301270445,4
202301270446,4
202301270447,4
202301270448,4
202301270449,4
202301270450,4
202301270451,4
202301270452,4
202301270453,4
202301270454,4
202301270455,4
202301270456,4
202301270457,4
202301270458,4
202301270459,4
202301270500,4
202301270501,4
202301270502,4
202301270503,4
202301270504,4
202301270505,4
202301270506,4
202301270507,4
202301270508,4
202301270509,4
202301270510,4
202301270511,4
202301270512,4
202301270513,4
202301270514,4
202301270515,4
202301270516,4
202301270517,4
202301270518,4
202301270519,4
202301270520,4
202301270521,4
202301270522,4
202301270523,4
202301270524,4
202301270525,4
202301270526,4
202301270527,4
202301270528,4
202301270529,4
202301270530,4
202301270531,4
202301270532,4
202301270533,4
202301270534,4
202301270535,4
202301270536,4
202301270537,4
202301270538,4
202301270539,4
202301270540,4
202301270541,4
202301270542,4
202301270543,4
202301270544,4
202301270545,4
202301270546,4
202301270547,4
202301270548,4
202301270549,4
202301270550,4
202301270551,4
202301270552,4
202301270553,4
202301270554,4
202301270555,4
202301270556,4
