time,weather
202301190000,0
202301190001,0
202301190002,0
202301190003,0
202301190004,0
202301190005,0
202301190006,0
202301190007,0
202301190008,0
202301190009,0
202301190010,0
202301190011,0
202301190012,0
202301190013,0
202301190014,0
202301190015,0
202301190016,0
202301190017,0
202301190018,0
202301190019,0
202301190020,0
202301190021,0
202301190022,0
202301190023,0
202301190024,0
202301190025,0
202301190026,0
202301190027,0
202301190028,0
202301190029,0
202301190030,0
202301190031,0
202301190032,0
202301190033,0
202301190034,0
202301190035,0
202301190036,0
202301190037,0
202301190038,0
202301190039,0
202301190040,0
202301190041,0
202301190042,0
202301190043,0
202301190044,0
202301190045,0
202301190046,0
202301190047,0
202301190048,0
202301190049,0
202301190050,0
202301190051,0
202301190052,0
202301190053,0
202301190054,0
202301190055,0
202301190056,0
202301190057,0
202301190058,0
202301190059,0
202301190100,0
202301190101,0
202301190102,0
202301190103,0
202301190104,0
202301190105,0
202301190106,0
202301190107,0
202301190108,0
202301190109,0
202301190110,0
202301190111,0
202301190112,0
202301190113,0
202301190114,0
202301190115,0
202301190116,0
202301190117,0
202301190118,0
202301190119,0
202301190120,0
202301190121,0
202301190122,0
202301190123,0
202301190124,0
202301190125,0
202301190126,0
202301190127,0
202301190128,0
202301190129,0
202301190130,0
202301190131,0
202301190132,0
202301190133,0
202301190134,0
202301190135,0
202301190136,0
202301190137,0
202301190138,0
202301190139,0
202301190140,4
202301190141,4
202301190142,0
202301190143,0
202301190144,0
202301190145,4
202301190146,4
202301190147,4
202301190148,4
202301190149,0
202301190150,0
202301190151,0
202301190152,0
202301190153,0
202301190154,4
202301190155,4
202301190156,4
202301190157,4
202301190158,4
202301190159,4
202301190200,4
202301190201,4
202301190202,4
202301190203,4
202301190204,4
202301190205,4
202301190206,4
202301190207,4
202301190208,4
202301190209,4
202301190210,4
202301190211,4
202301190212,4
202301190213,4
202301190214,4
202301190215,4
202301190216,4
202301190217,4
202301190218,4
202301190219,4
202301190220,4
202301190221,4
202301190222,4
202301190223,4
202301190224,4
202301190225,4
202301190226,4
202301190227,4
202301190228,4
202301190229,4
202301190230,4
202301190231,4
202301190232,4
202301190233,4
202301190234,4
202301190235,4
202301190236,4
202301190237,4
202301190238,4
202301190239,4
202301190240,4
202301190241,4
202301190242,4
202301190243,4
202301190244,4
202301190245,4
202301190246,4
202301190247,4
202301190248,4
202301190249,4
202301190250,4
202301190251,4
202301190252,4
202301190253,4
202301190254,4
202301190255,4
202301190256,4
202301190257,4
202301190258,4
202301190259,4
202301190300,4
202301190301,4
202301190302,4
202301190303,4
202301190304,4
202301190305,4
202301190306,4
202301190307,4
202301190308,4
202301190309,4
202301190310,4
202301190311,4
202301190312,4
202301190313,4
202301190314,4
202301190315,4
202301190316,4
202301190317,4
202301190318,4
202301190319,4
202301190320,4
202301190321,4
202301190322,4
202301190323,4
202301190324,4
202301190325,4
202301190326,4
202301190327,4
202301190328,4
202301190329,4
202301190330,4
202301190331,4
202301190332,4
202301190333,4
202301190334,4
202301190335,4
202301190336,4
202301190337,4
202301190338,4
202301190339,4
202301190340,4
202301190341,4
202301190342,4
202301190343,4
202301190344,4
202301190345,4
202301190346,4
202301190347,4
202301190348,4
202301190349,4
202301190350,4
202301190351,4
202301190352,4
202301190353,4
202301190354,4
202301190355,4
202301190356,4
202301190357,4
202301190358,4
202301190359,4
202301190400,4
202301190401,4
202301190402,4
202301190403,0
202301190404,0
202301190405,0
202301190406,0
202301190407,0
202301190408,0
