time,weather
202302010000,0
202302010001,0
202302010002,0
202302010003,0
202302010004,0
202302010005,0
202302010006,0
202302010007,0
202302010008,0
202302010009,0
202302010010,0
202302010011,0
202302010012,0
202302010013,0
202302010014,0
202302010015,0
202302010016,0
202302010017,0
202302010018,0
202302010019,0
202302010020,0
202302010021,0
202302010022,0
202302010023,0
202302010024,0
202302010025,0
202302010026,0
202302010027,0
202302010028,0
202302010029,0
202302010030,0
202302010031,0
202302010032,0
202302010033,0
202302010034,0
202302010035,0
202302010036,0
202302010037,0
202302010038,0
202302010039,0
202302010040,0
202302010041,0
202302010042,0
202302010043,0
202302010044,0
202302010045,0
202302010046,0
202302010047,0
202302010048,0
202302010049,0
202302010050,0
202302010051,0
202302010052,0
202302010053,0
202302010054,0
202302010055,0
202302010056,0
202302010057,0
202302010058,0
202302010059,0
202302010100,0
202302010101,0
202302010102,0
202302010103,0
202302010104,0
202302010105,0
202302010106,0
202302010107,0
202302010108,0
202302010109,0
202302010110,0
202302010111,0
202302010112,0
202302010113,0
202302010114,0
202302010115,0
202302010116,0
202302010117,0
202302010118,0
202302010119,0
202302010120,0
202302010121,0
202302010122,0
202302010123,0
202302010124,0
202302010125,0
202302010126,0
202302010127,0
202302010128,0
202302010129,0
202302010130,0
202302010131,0
202302010132,0
202302010133,0
202302010134,0
202302010135,0
202302010136,0
202302010137,0
202302010138,0
202302010139,0
202302010140,0
202302010141,0
202302010142,0
202302010143,0
202302010144,0
202302010145,0
202302010146,0
202302010147,0
202302010148,0
202302010149,0
202302010150,0
202302010151,0
202302010152,0
202302010153,0
202302010154,0
202302010155,0
202302010156,0
202302010157,0
202302010158,0
202302010159,0
202302010200,0
202302010201,0
202302010202,0
202302010203,0
202302010204,0
202302010205,0
202302010206,0
202302010207,0
202302010208,0
202302010209,0
202302010210,0
202302010211,0
202302010212,0
202302010213,0
202302010214,0
202302010215,0
202302010216,0
202302010217,0
202302010218,0
202302010219,0
202302010220,0
202302010221,0
202302010222,0
202302010223,0
202302010224,0
202302010225,0
202302010226,0
202302010227,0
202302010228,0
202302010229,0
202302010230,0
202302010231,0
202302010232,0
202302010233,0
202302010234,0
202302010235,0
202302010236,0
202302010237,0
202302010238,0
202302010239,0
202302010240,0
202302010241,0
202302010242,0
202302010243,0
202302010244,0
202302010245,0
202302010246,0
202302010247,0
202302010248,0
202302010249,0
202302010250,0
202302010251,0
202302010252,0
202302010253,0
202302010254,0
202302010255,4
202302010256,4
202302010257,0
202302010258,0
202302010259,4
202302010300,4
202302010301,4
202302010302,4
202302010303,4
202302010304,0
202302010305,0
202302010306,0
202302010307,0
202302010308,4
202302010309,4
202302010310,4
202302010311,4
202302010312,4
202302010313,4
202302010314,4
202302010315,4
202302010316,4
202302010317,4
202302010318,4
202302010319,4
202302010320,4
202302010321,4
202302010322,4
202302010323,4
202302010324,4
202302010325,4
202302010326,4
202302010327,4
202302010328,4
202302010329,4
202302010330,4
202302010331,4
202302010332,4
202302010333,4
202302010334,4
202302010335,4
202302010336,4
202302010337,4
202302010338,4
202302010339,4
202302010340,4
202302010341,4
202302010342,4
202302010343,4
202302010344,4
202302010345,4
202302010346,4
202302010347,4
202302010348,4
202302010349,4
202302010350,4
202302010351,4
202302010352,4
202302010353,4
202302010354,4
202302010355,4
202302010356,4
202302010357,4
202302010358,4
202302010359,4
202302010400,4
202302010401,4
202302010402,4
202302010403,4
202302010404,4
202302010405,4
202302010406,4
202302010407,4
202302010408,4
202302010409,4
202302010410,4
202302010411,4
202302010412,4
202302010413,4
202302010414,4
202302010415,4
202302010416,4
202302010417,4
202302010418,4
202302010419,4
202302010420,4
202302010421,4
202302010422,4
202302010423,4
202302010424,4
202302010425,4
202302010426,4
202302010427,4
202302010428,4
202302010429,4
202302010430,4
202302010431,4
202302010432,4
202302010433,4
202302010434,4
202302010435,4
202302010436,4
202302010437,4
202302010438,4
202302010439,4
202302010440,4
202302010441,4
202302010442,4
202302010443,4
202302010444,4
202302010445,4
202302010446,4
202302010447,4
202302010448,4
202302010449,4
202302010450,4
202302010451,4
202302010452,4
202302010453,4
202302010454,4
202302010455,4
202302010456,4
202302010457,4
202302010458,4
202302010459,4
202302010500,4
202302010501,4
202302010502,4
202302010503,4
202302010504,4
202302010505,4
202302010506,4
202302010507,4
202302010508,4
202302010509,4
202302010510,4
202302010511,4
202302010512,4
202302010513,4
202302010514,4
202302010515,4
202302010516,4
202302010517,4
202302010518,4
202302010519,4
202302010520,4
202302010521,4
202302010522,4
202302010523,4
202302010524,4
202302010525,4
202302010526,4
202302010527,4
202302010528,4
202302010529,4
202302010530,4
202302010531,4
202302010532,4
202302010533,4
202302010534,4
202302010535,4
202302010536,4
202302010537,4
202302010538,4
202302010539,4
202302010540,4
202302010541,4
202302010542,4
202302010543,4
202302010544,4
202302010545,4
202302010546,4
202302010547,4
202302010548,4
202302010549,4
202302010550,4
202302010551,4
202302010552,4
202302010553,4
202302010554,4
202302010555,4
202302010556,4
202302010557,4
202302010558,4
202302010559,4
202302010600,4
202302010601,4
202302010602,4
202302010603,4
202302010604,4
202302010605,4
202302010606,4
202302010607,4
202302010608,4
202302010609,4
202302010610,4
202302010611,4
202302010612,4
202302010613,4
202302010614,4
202302010615,4
202302010616,4
202302010617,4
202302010618,4
202302010619,4
202302010620,4
202302010621,4
202302010622,4
202302010623,4
202302010624,4
202302010625,4
202302010626,4
202302010627,4
202302010628,4
202302010629,4
202302010630,4
202302010631,4
202302010632,4
202302010633,4
202302010634,4
202302010635,4
202302010636,4
202302010637,4
202302010638,4
202302010639,4
202302010640,4
202302010641,4
202302010642,4
202302010643,4
202302010644,4
202302010645,4
202302010646,4
202302010647,4
202302010648,4
202302010649,4
202302010650,4
202302010651,4
202302010652,4
202302010653,4
202302010654,4
202302010655,4
202302010656,4
202302010657,4
202302010658,4
202302010659,4
202302010700,4
202302010701,4
202302010702,4
202302010703,4
202302010704,4
202302010705,4
202302010706,4
202302010707,4
202302010708,4
202302010709,4
202302010710,4
202302010711,4
202302010712,4
202302010713,4
202302010714,4
202302010715,4
202302010716,4
202302010717,4
202302010718,4
202302010719,4
202302010720,4
202302010721,4
202302010722,4
202302010723,4
202302010724,4
202302010725,4
202302010726,4
202302010727,4
202302010728,4
202302010729,4
202302010730,4
202302010731,4
202302010732,4
202302010733,4
202302010734,4
202302010735,4
202302010736,4
202302010737,4
202302010738,4
202302010739,4
202302010740,4
202302010741,4
202302010742,4
202302010743,4
202302010744,4
202302010745,4
202302010746,4
202302010747,4
202302010748,4
202302010749,4
202302010750,4
202302010751,4
202302010752,4
202302010753,4
202302010754,4
202302010755,4
202302010756,4
202302010757,4
202302010758,4
202302010759,4
202302010800,4
202302010801,4
202302010802,4
202302010803,4
202302010804,4
202302010805,4
202302010806,4
202302010807,4
202302010808,4
202302010809,4
202302010810,4
202302010811,4
202302010812,4
202302010813,4
202302010814,4
202302010815,4
202302010816,4
202302010817,4
202302010818,4
202302010819,4
202302010820,4
202302010821,4
202302010822,4
202302010823,4
202302010824,4
202302010825,4
202302010826,4
202302010827,4
202302010828,4
202302010829,4
202302010830,4
202302010831,4
202302010832,4
202302010833,4
202302010834,4
202302010835,4
202302010836,4
202302010837,4
202302010838,4
202302010839,4
202302010840,4
202302010841,4
202302010842,4
202302010843,4
202302010844,4
202302010845,4
202302010846,4
202302010847,4
202302010848,4
202302010849,4
202302010850,4
202302010851,4
202302010852,4
202302010853,4
202302010854,4
202302010855,4
202302010856,4
202302010857,4
202302010858,4
202302010859,4
202302010900,4
202302010901,4
202302010902,4
202302010903,4
202302010904,4
202302010905,4
202302010906,4
202302010907,4
202302010908,4
202302010909,4
202302010910,4
202302010911,4
202302010912,4
202302010913,4
202302010914,4
202302010915,4
202302010916,4
202302010917,4
202302010918,4
202302010919,4
202302010920,4
202302010921,4
202302010922,4
202302010923,4
202302010924,4
202302010925,4
202302010926,4
202302010927,4
202302010928,4
202302010929,4
202302010930,4
202302010931,4
202302010932,4
202302010933,4
202302010934,4
202302010935,4
202302010936,4
202302010937,4
202302010938,4
202302010939,4
202302010940,4
202302010941,4
202302010942,4
202302010943,4
202302010944,4
202302010945,4
202302010946,4
202302010947,4
202302010948,4
202302010949,4
202302010950,4
202302010951,4
202302010952,4
202302010953,4
202302010954,4
202302010955,4
202302010956,4
202302010957,4
202302010958,4
202302010959,4
202302011000,4
202302011001,4
202302011002,4
202302011003,4
202302011004,4
202302011005,4
202302011006,4
202302011007,4
202302011008,4
202302011009,4
202302011010,4
202302011011,4
202302011012,4
202302011013,4
202302011014,4
202302011015,4
202302011016,4
202302011017,4
202302011018,4
202302011019,4
202302011020,4
202302011021,4
202302011022,4
202302011023,4
202302011024,4
202302011025,4
202302011026,4
202302011027,4
202302011028,4
202302011029,4
202302011030,4
202302011031,0
202302011032,0
202302011033,0
202302011034,0
202302011035,0
202302011036,0
202302011037,0
202302011038,0
202302011039,0
202302011040,0
202302011041,0
202302011042,0
202302011043,0
202302011044,0
202302011045,0
202302011046,0
202302011047,0
202302011048,0
202302011049,0
202302011050,0
202302011051,0
202302011052,0
202302011053,0
202302011054,0
202302011055,0
202302011056,0
202302011057,0
202302011058,0
202302011059,0
202302011100,0
202302011101,0
202302011102,0
202302011103,0
202302011104,0
202302011105,0
202302011106,0
202302011107,0
202302011108,0
202302011109,0
202302011110,0
202302011111,0
202302011112,0
202302011113,0
202302011114,0
202302011115,0
202302011116,0
202302011117,0
202302011118,0
202302011119,0
202302011120,0
202302011121,0
202302011122,0
202302011123,0
202302011124,0
202302011125,0
202302011126,0
202302011127,0
202302011128,0
202302011129,0
202302011130,0
202302011131,0
202302011132,0
202302011133,0
202302011134,0
202302011135,0
202302011136,0
202302011137,0
202302011138,0
202302011139,0
202302011140,0
202302011141,0
202302011142,0
202302011143,0
202302011144,0
202302011145,0
202302011146,0
202302011147,0
202302011148,0
202302011149,0
202302011150,0
202302011151,0
202302011152,0
202302011153,0
202302011154,0
202302011155,0
202302011156,0
202302011157,0
202302011158,0
202302011159,0
202302011200,0
202302011201,0
202302011202,0
202302011203,0
202302011204,0
202302011205,0
202302011206,0
202302011207,0
202302011208,0
202302011209,0
202302011210,0
202302011211,0
202302011212,0
202302011213,0
202302011214,0
202302011215,0
202302011216,0
202302011217,0
202302011218,0
202302011219,0
202302011220,0
202302011221,0
202302011222,0
202302011223,0
202302011224,0
202302011225,0
202302011226,0
202302011227,0
202302011228,0
202302011229,0
202302011230,0
202302011231,0
202302011232,0
202302011233,0
202302011234,0
202302011235,0
202302011236,0
202302011237,0
202302011238,0
202302011239,0
202302011240,0
202302011241,0
202302011242,0
202302011243,0
202302011244,0
202302011245,0
202302011246,0
202302011247,0
202302011248,0
202302011249,0
202302011250,0
202302011251,0
202302011252,0
202302011253,0
202302011254,0
202302011255,0
202302011256,0
202302011257,0
202302011258,0
202302011259,0
202302011300,0
202302011301,0
202302011302,0
202302011303,0
202302011304,0
202302011305,0
202302011306,0
202302011307,0
202302011308,0
202302011309,0
202302011310,0
202302011311,0
202302011312,0
202302011313,0
202302011314,0
202302011315,0
202302011316,0
202302011317,0
202302011318,0
202302011319,0
202302011320,0
202302011321,0
202302011322,0
202302011323,0
202302011324,0
202302011325,0
202302011326,0
202302011327,0
202302011328,0
202302011329,0
202302011330,0
202302011331,0
202302011332,0
202302011333,0
202302011334,0
202302011335,0
202302011336,0
202302011337,0
202302011338,0
202302011339,0
202302011340,0
202302011341,0
202302011342,0
202302011343,0
202302011344,0
202302011345,0
202302011346,0
202302011347,0
202302011348,0
202302011349,0
202302011350,0
202302011351,0
202302011352,0
202302011353,0
202302011354,0
202302011355,0
202302011356,0
202302011357,0
202302011358,0
202302011359,0
202302011400,0
202302011401,0
202302011402,0
202302011403,0
202302011404,0
202302011405,0
202302011406,0
202302011407,0
202302011408,0
202302011409,0
202302011410,0
202302011411,0
202302011412,0
202302011413,0
202302011414,0
202302011415,0
202302011416,0
202302011417,0
202302011418,0
202302011419,0
202302011420,0
202302011421,0
202302011422,0
202302011423,0
202302011424,0
202302011425,0
202302011426,0
202302011427,0
202302011428,0
202302011429,0
202302011430,0
202302011431,0
202302011432,0
202302011433,0
